Plotnummer,Quadrant,Rueckegasse,Esche markiert,Baumart,Hoehe,Hoehe Vorjahr,Hoehe Vorvorjahr,Anzahl Triebe,ETS abgestorben frisch,ETS abgestorben alt,ETS lebend,Verbiss lebend,Verbiss tot,Sonstige Gruende tot,Bemerkungen,Rand,Zaun
,,,,hbu,49,41,,,,,,,,,,FALSE,FALSE
,,,,hbu,49,,,,,,,,,,,FALSE,FALSE
,,,,hbu,193,187,184,,,,,,,,,FALSE,FALSE
,,,,bah,108,90,60,,,,,,,,,FALSE,FALSE
,,,,bah,339,254,199,,,,,,,,,FALSE,FALSE
,,,,bah,73,63,53,,,,,,,,,FALSE,FALSE
,,,,bah,86,77,65,,,,,,,,,FALSE,FALSE
,,,,bah,185,159,133,,,,,,,,,FALSE,FALSE
,,,,rbu,404,362,249,,,,,,,,,FALSE,FALSE
,,,,bah,130,108,95,,,,,,,,,FALSE,FALSE
,,,,esch,167,157,123,3,,,,,,1,,FALSE,FALSE
,,,,bah,92,80,61,,,,,,,,,FALSE,FALSE
,,,,bah,83,61,44,,,,,,,,,FALSE,FALSE
,,,,bah,68,62,55,,,,,,,,,FALSE,FALSE
,,,,bah,189,165,129,,,,,,,,,FALSE,FALSE
,,,,bah,105,84,79,,,,,,,,,FALSE,FALSE
,,,,esch,215,172,114,1,,,,,,,,FALSE,FALSE
,,,,bah,109,104,96,,,,,,,,,FALSE,FALSE
,,,,bah,125,119,112,,,,,,,,,FALSE,FALSE
75,,,,,,,,,,,,,,,"keine Verjüngung, Baum 1183 im Plot",FALSE,FALSE
76,no,,no,esch,250,212,193,3,,,,,,1,,FALSE,FALSE
,,,,bah,1250,964,690,,,,,,,,,FALSE,FALSE
,nw,,,bah,110,103,88,,,,,,,,,FALSE,FALSE
,sw,,,bah,1790,1355,880,,,,,,,,,FALSE,FALSE
,so,,,bah,900,843,740,,,,,,,,,FALSE,FALSE
,,,,bah,622,581,544,,,,,,,,,FALSE,FALSE
,,,,bah,273,220,166,,,,,,,,,FALSE,FALSE
,,,,bah,214,199,185,,,,,,,,,FALSE,FALSE
77,sw,,,hbu,433,285,255,,,,,,,,,FALSE,FALSE
,,,,hbu,340,271,265,,,,,,,,,FALSE,FALSE
,so,,,bah,121,104,87,,,,,,,,,FALSE,FALSE
,,,,bah,126,119,112,,,,,,,,,FALSE,FALSE
,,,,hbu,48,42,,,,,,,,,,FALSE,FALSE
,,,,esch,60,35,15,,,,,,,,vergraben unter Totholz,FALSE,FALSE
,nw,,,hbu,258,90,80,,,,,,,,,FALSE,FALSE
,no,,,hbu,280,185,150,,,,,,,,,FALSE,FALSE
,,,,bah,160,139,97,,,,,,,,,FALSE,FALSE
,,,,sah,215,153,100,,,,,,,,,FALSE,FALSE
,,,,bah,225,176,120,,,,,,,,,FALSE,FALSE
78,so,,,wildkirsche,609,551,401,,,,,,,,plot größtenteils von großem stubben bedeckt,FALSE,FALSE
,sw,,sw,esch,431,295,186,3,,,,,,2,,FALSE,FALSE
,,,,Cornus sanguinea,711,676,663,,,,,,,,,FALSE,FALSE
,no,,,bah,1708,1480,832,,,,,,,,,FALSE,FALSE
79,no,,,esch,70,61,40,1,,,,,,,,FALSE,FALSE
,,,,bah,90,,,,,,,,,,,FALSE,FALSE
,,,,bah,88,,,,,,,,,,,FALSE,FALSE
,,,,hbu,58,57,54,,,,,,,,,FALSE,FALSE
,,,,esch,134,121,96,2,t1,,,,,1,grüne Höhe 74,FALSE,FALSE
,nw,,,rbu,445,421,,,,,,,,,,FALSE,FALSE
,,,,sah,92,85,83,,,,,,,,,FALSE,FALSE
,,,,bah,73,65,52,,,,,,,,,FALSE,FALSE
,,,,sah,179,175,125,,,,,,,,,FALSE,FALSE
,,,,bah,239,222,140,,,,,,,,,FALSE,FALSE
,sw,,sw,esch,110,54,17,2,t1,,,,,,"grüne Höhe 94, liegend",FALSE,FALSE
,,,,esch,107,80,71,1,t1,,,,,,,FALSE,FALSE
,,,,bah,75,,,,,,,,,,,FALSE,FALSE
,,,,bah,144,134,104,,,,,,,,,FALSE,FALSE
,,,,sah,230,222,201,,,,,,,,,FALSE,FALSE
,so,,,esch,195,164,110,1,,,,,,,,FALSE,FALSE
,,,,esch,91,81,52,1,,,,,,,,FALSE,FALSE
,,,,esch,165,145,110,1,,,,,,,,FALSE,FALSE
,,,,bah,240,210,187,,,,,,,,,FALSE,FALSE
,,,,bah,165,147,100,,,,,,,,,FALSE,FALSE
,,,,esch,225,195,152,4,2,t2,,,,,,FALSE,FALSE
,,,,bah,206,190,172,,,,,,,,,FALSE,FALSE
,,,,bah,56,36,,,,,,,,,aus stärkerem Trieb neu ausgetrieben,FALSE,FALSE
80,so,,,bah,179,157,92,,,,,,,,,FALSE,FALSE
,,,,esch,246,185,132,1,,,,,,,,FALSE,FALSE
,,,,bah,154,138,129,,,,,,,,,FALSE,FALSE
,,,,hbu,50,,,,,,,,,,,FALSE,FALSE
,,,,esch,91,80,61,1,,,,,,,,FALSE,FALSE
,,,,esch,147,140,112,1,,,,,,,,FALSE,FALSE
,,,,esch,151,135,112,2,,,,,,,,FALSE,FALSE
,,,,rbu,100,75,56,,,,,,,,aus stärkerem Trieb ausgetrieben,FALSE,FALSE
,,,,bah,123,116,102,,,,,,,,,FALSE,FALSE
,,,,bah,246,201,152,,,,,,,,,FALSE,FALSE
,,,,bah,188,166,139,,,,,,,,,FALSE,FALSE
,,,,esch,116,102,90,1,,,,,,,,FALSE,FALSE
,sw,,,rbu,398,333,249,,,,,,,,,FALSE,FALSE
,,,,sah,340,259,205,,,,,,,,,FALSE,FALSE
,,,,bah,140,134,125,,,,,,,,,FALSE,FALSE
,,,,bah,191,165,130,,,,,,,,,FALSE,FALSE
,,,,esch,131,103,86,,,,,,,,,FALSE,FALSE
,,,sw,esch,112,102,91,1,,,,,,,,FALSE,FALSE
,,,,bah,101,90,76,,,,,,,,,FALSE,FALSE
,,,,esch,81,79,63,2,,,,,,,,FALSE,FALSE
