Plotnummer,Rueckegasse,Esche markiert,Baumart,Hoehe,Anzahl Triebe,Einjaehriger Saemling,ETS abgestorben frisch,ETS abgestorben alt,ETS lebend,Verbiss lebend,Verbiss tot,Sonstige Gruende tot,Blattflecken,Bemerkungen,Zaun,Ausgeschlossen Rand Zaun
,,NW,Esch,7,1,1,,,,,,,1,,FALSE,FALSE
8929,,SW,Esch,14,2,,,,,,,,2,,FALSE,FALSE
,,,Esch,12,3,,,,,,1,,,,FALSE,FALSE
,,,RBU,14,,,,,,,,,,,FALSE,FALSE
,,NW,Esch,12,1,,,,,,,,,,FALSE,FALSE
,,,Esch,12,3,,,1,,,,,,,FALSE,FALSE
,,NO,Esch,22,3,,,,,,1,,,,FALSE,FALSE
,,,Esch,14,1,,,,,,,,,,FALSE,FALSE
,,,Esch,13,1,,,,,,,,,,FALSE,FALSE
,,,Esch,17,2,,,,,,1,,,,FALSE,FALSE
,,,SAh,28,,,,,,,,,,,FALSE,FALSE
,,,Esch,10,1,,,,,,,,,,FALSE,FALSE
,,,Esch,28,3,,,,,1,,,,,FALSE,FALSE
,,SO,Esch,22,1,,,,,,,,1,,FALSE,FALSE
8930,,SW,Esch,14,3,,,,,,,,1,,FALSE,FALSE
,,,Esch,18,2,,,,,,,,,,FALSE,FALSE
,,,RBU,20,,,,,,,,,,,FALSE,FALSE
,,,RBU,29,,,,,,,,,,,FALSE,FALSE
,,,BAh,11,,,,,,,,,,,FALSE,FALSE
,,,Esch,6,3,,,,,,,1,,,FALSE,FALSE
,,NW,Esch,16,2,,,1,,,,,,,FALSE,FALSE
,,,Esch,9,2,,,,,,,,,,FALSE,FALSE
,,,Esch,10,1,,,,,,,,,,FALSE,FALSE
,,,RBU,15,,,,,,,,,,,FALSE,FALSE
,,NO,Esch,10,1,,,,,,,,,,FALSE,FALSE
,,,RBU,56,,,,,,,,,,,FALSE,FALSE
,,,RBU,20,,,,,,,,,,,FALSE,FALSE
,,,Esch,17,4,,,,,2,,,,,FALSE,FALSE
,,,Esch,14,2,,,,,,,,,,FALSE,FALSE
,,,Esch,26,3,,,,,,,,,,FALSE,FALSE
,,,Esch,7,2,,,,,,,,,,FALSE,FALSE
,,,Esch,8,8,,,T3,,,,1,,,FALSE,FALSE
,,,Esch,20,4,,,,,,,2,,Krebs/ Galle,FALSE,FALSE
,,,Esch,14,1,,,,,,,,,,FALSE,FALSE
,,,Esch,15,2,,,,,,,,,,FALSE,FALSE
,,,Esch,20,8,,,3,,,,,,,FALSE,FALSE
,,,Esch,17,1,,,,,,,,,,FALSE,FALSE
,,,Esch,9,2,,T1,,,,,,,,FALSE,FALSE
,,,Esch,11,3,,T2,,,,,,,,FALSE,FALSE
,,SO,Esch,12,1,,,,,,,,4,,FALSE,FALSE
8931,,SW,Esch,22,4,,,,,,,,2,,FALSE,FALSE
,,,Esch,7,1,,,,,,,,,,FALSE,FALSE
,,MITTE,Esch,6,1,1,,,,,,,4,,FALSE,FALSE
,,,Esch,12,1,,,,,,,,,,FALSE,FALSE
,,NW,Esch,7,1,1,,,,,,,1,,FALSE,FALSE
,,,Esch,9,1,1,,,,,,,,,FALSE,FALSE
,,,Esch,9,1,1,,,,,,,,,FALSE,FALSE
