Plotnummer,Rueckegasse,Esche markiert,Gefunden,Baumart,Hoehe,Anzahl Triebe,Einjaehriger Saemling,ETS abgestorben frisch,ETS abgestorben alt,ETS lebend,Verbiss lebend,Verbiss tot,Sonstige Gruende tot,Gruene Hoehe,Aceria fraxinivora,Nicht gerade,Bemerkungen
,,sw,t,esch,10,2,,,,,,,,,,,
,,,,esch,12,1,,,,,,,,,,,
,,,,bah,8,,,,,,,,,,,,
,,nw,t,esch,11,1,,,,,,,,,,,
,,,,esch,7,1,,,,,,,,,,,
,,,,esch,8,1,,,,,,,,,,,
8925,,nw,t,esch,10,1,,,,,,,,,,,
,,,,esch,9,1,,,,,,,,,,,
,,,,esch,8,1,,,,,,,,,,,
,,mitte,t,esch,9,1,,,,,,,,,,,
,,,,esch,8,2,,,,,,,,,,,
,,so,t,esch,12,1,,,,,t1,,,,,,
,,,,esch,17,1,,,,,,,,,,,
8926,,nw,t,esch,9,1,,,,,,,,,,,
8927,,nw,t,esch,5,1,,,,,,,,,,,
,,,,rbu,25,,,,,,,,,,,,
,,,,esch,19,1,,,,,,,,,,,
,,,,esch,4,1,,,,,t1,,,,,,
,,,,bah,16,,,,,,,,,,,,
,,so,t,esch,4,1,,,,,,,t1,,,,
8928,,nw,t,esch,9,1,,,,,,,,,,,
,,,,esch,10,1,,,,,,,,,,,
,,,,esch,17,1,,,,t1,,,,,,,
,,,,esch,11,1,,,,,,,,,,,
,,,,esch,15,1,,,,,,,,,,,
,,,,esch,21,1,,,,,,,,,,,
,,,,esch,21,1,,,,,,,,,,,
,,,,esch,12,1,,,,,,,,,,,
,,,,esch,10,1,,,,,,,,,,,
,,,,kirsche,26,,,,,,,,,,,,
,,no,t,esch,10,1,,,,,,,,,,,
,,,,esch,14,1,,,,,,,,,,,
,,sw,t,esch,14,3,,,,,,,1,,,,
,,,,esch,19,6,,,,,,1,,,,,
,,,,esch,20,5,,,t3,,,,,12,,,
,,,,esch,21,6,,,,,,1,,,,,
,,,,esch,12,1,,,,,,,,,,,
,,,,esch,23,7,,,,,,1,,,,,
,,so,t,esch,23,3,,,,,,,1,,,,
,,,,rbu,25,,,,,,,,,,,,
,,,,esch,11,1,,,,,,,,,,,
8929,,no,t,esch,25,3,,,,,,1,,,,,
,,,,esch,18,4,,,t2,,,,,9,,,
,,,,Sah,28,,,,,,,,,,,,
,,,,esch,12,1,,,,,,,,,,,
,,,,esch,15,3,,1,,,,,1,,,,
,,so,t,esch,27,1,,,,,,,,,,,
,,,,esch,32,3,,,,,,,1,,,,
,,sw,t,esch,18,2,,,,,,,,,,,
,,,,esch,14,5,,,,,,,2,,,,
,,nw,t,esch,13,1,,,,,,,,,,,
,,,,esch,21,4,,,t1,,,,,12,,,
8930,,,,rbu,49,,,,,,,,,,,,
,,no,t,esch,14,3,,,,,,,,,,,
,,,,rbu,26,,,,,,,,,,,,
,,,,esch,12,2,,,,,,,,,,,
,,,,esch,15,2,,,t1,,,,,10,,,
,,,,esch,18,4,,,,,,,2,,,,
,,,,esch,28,4,,,,,t1,1,,,,,
,,,,rbu,18,,,,,,,,,,,,
,,,,esch,19,1,,,,,,,,,,,
,,,,esch,19,5,,,,,,,,,,,
,,,,esch,25,7,,,,,,1,2,,1,,
,,,,esch,21,7,,,,,,,3,,,,
,,,,esch,10,9,,,1,,,,6,,,,
,,,,esch,20,1,,,,,,,,,,,
,,,,esch,19,2,,,t1,,,,,16,,,
,,so,t,esch,13,2,,,,,,,1,,,,
,,sw,t,esch,17,3,,,,,,,,,,,
,,,,esch,22,2,,,,,,,,,,,
,,,,rbu,23,,,,,,,,,,,,
,,,,rbu,33,,,,,,,,,,,,
,,,,bah,12,,,,,,,,,,,,
,,,,esch,10,2,,,,,,,,,,,
,,,,esch,12,1,,,,,,,,,,,
,,,,esch,10,2,,,,,,,,,,,
,,nw,t,esch,23,2,,,1,,,,,,,,
8931,,so,t,esch,16,1,,,,,t1,,,,,,
,,,,Sah,18,,,,,,,,,,,,
,,,,esch,12,1,,,,,,,,,,,
,,,,esch,12,1,,,,,,,,,,,
,,mitte,t,esch,6,1,,,,,,,1,,,,ganz  tot
,,sw,t,esch,23,4,,,,,t1,,,,,,
,,,,esch,10,1,,,,,,,,,,,
,,,,esch,22,2,,,,,,,,,,,
,,nw,t,esch,12,3,,,,,,,,,,,
8932,,no,t,esch,8,1,,,,,,,,,,,
