Plotnummer,Quadrant,Rückegasse,Baumart,Höhe,Höhe Vorjahr,Höhe Vorvorjahr,Länge,Länge Vorjahr,Länge Vorvorjahr,Gesamtanzahl Triebe,ets.abgestorben.frisch,ets.abgestorben.alt,ets.lebend,verbiss.lebend,verbiss.abgestorben,sonstiges.abgestorben,Bemerkungen,Foto
,west,,hbu,496,480,455,595,559,510,,,,,,,,,
,nord,,esche,86,63,,,,,1,,,,,,,,
,,,hbu,533,476,440,,,,,,,,,,,,
,ost,,rbu,508,350,305,690,504,400,,,,,,,,,
,,,esche,80,63,,,,,1,,,,,,,,
18,nwso,, ,,,,,,,,,,,,,,"baum 124 80cm nw der nw-kante, fläche unter schlagabraum",
19,,,schwarzer holunder,1742,1349,1312,,,,,,,,,,,plot unter schlagabraum,
20,west,,esche,101,84,65,,,,1,,,,,,,,
,nord,,esche,80,31,,,,,1,,,,,,,,
,,,esche,70,67,,,,,2,,,,,,t1,,
,süd,, ,,,,,,,,,,,,,,,
,ost,, ,,,,,,,,,,,,,,,
21,nord,,hbu,253,194,131,276,212,135,,,,,,,,,
,,,linde,84,62,,,,,,,,,,,,,
,,,hbu,54,,,,,,,,,,,,,,
,ost,,esche,71,62,,,,,,1,,,,,,,
,,,esche,82,73,65,,,,,1,,,,,,,
,,,linde,64,,,,,,,,,,,,,,
,sued,,ulmus glabra,242,237,228,,,,,,,,,,,,
,west,,hbu,58,31,,,,,,,,,,,,,
,,,esche,96,61,,,,,1,,,,,,,,
22,süd,,esche,84,64,50,,,,2,,,,,,,,
,,,esche,100,60,,,,,1,,,,,,,,
,,,crataegus,200,165,100,,,,,,,,,,,,
,,,hbu,202,76,,,,,,,,,,,,,
,,,esche,128,120,114,,,,2,,,,,,1,,
,,,hbu,259,244,235,,,,,,,,,,,,
,ost,,esche,101,56,,,,,1,,,,,,,,
, ,,ulmus glabra,426,420,400,,,,,,,,,,,,
,west,,esche,84,59,,,,,1,,,,,,,,
, ,,hbu,265,240,225,340,290,275,,,,,,,,,
