Plotnummer,Quadrant,Rückegasse,Baumart,Höhe,Höhe Vorjahr,Höhe Vorvorjahr,Länge,Länge Vorjahr,Länge Vorvorjahr,Gesamtanzahl Triebe,ets.abgestorben.frisch,ets.abgestorben.alt,ets.lebend,verbiss.lebend,verbiss.abgestorben,sonstiges.abgestorben,Bemerkungen,Foto
6,S,,,,,,,,,,,,,,,,,
,O,,,,,,,,,,,,,,,,Keine Bäume,
,,,Esche,97,90,85,104,96,91,1,,,,,,,,
,W,,Esche,224,222,220,229,227,225,4,,,,,,1,,
,,,Pfaffe,252,231,222,278,250,236,,,,,,,,,
,,,Pfaffe,318,298,292,327,305,297,,,,,,,,,
,,,Esche,86,75,70,113,102,95,1,,,,,,,,
,,,Esche,146,133,124,,,,1,,,,,,,,
,,,Esche,230,227,209,,,,2,,,,,,1,,
,,,Esche,88,85,84,93,89,88,2,,,,,,1,,
,S,,Pfaffe,275,266,206,281,270,206,,,,,,,,,
,,,Pfaffe,143,135,133,154,149,145,,,,,,,,,
,,,Pfaffe,190,182,177,209,202,195,,,,,,,,,
,,,Pfaffe,333,307,214,362,320,217,,,,,,,,,
,,,Esche,155,150,145,,,,1,,,,,,,,
,,,Esche,130,126,123,177,171,166,2,,,,,,,,
,,,BAh,256,243,219,,,,,,,,,,,,
,,,HBu,157,124,30,172,140,30,,,,,,,,Austrieb aus abgestorbenem stärkeren Trieb,
,,,Esche,81,75,70,104,98,94,1,,,,,,,,
,,,BAh,229,219,203,248,239,220,,,,,,,,,
,,,BAh,226,214,202,,,,,,,,,,,,
,,,Esche,174,169,156,200,192,175,3,,,,,,,,
,,,HBu,626,608,592,673,654,633,,,,,,,,,
87,W,,BAh,93,77,,98,83,,,,,,,,,"Buche und Esche liegen quer über Plot, Buche lebt noch.",123-3350
,,,BAh,134,126,111,150,143,133,,,,,,,,,
,,,Esche,100,55,50,150,105,90,1,,,,,,,,
,S,,Esche,82,65,,94,76,,1,,,,,,,,
,,,BAh,82,62,,82,62,,,,,,,,,,
,O,,HBu,109,104,98,134,129,123,,,,,,,,,
,,,Esche,98,40,,109,48,,1,,,,,,,,
,,,Esche,79,56,,79,56,,1,,,,,,,,
,,,Esche,67,53,,67,53,,1,,,,,,,,
,N,, ,,,,,,,,,,,,,,Keine Bäume,
88,O,,Pfaffe,88,41,34,103,64,50,,,,,,,,"Mittig ein kürzlich abgestorbener Baum, vermutlich Feldahorn, BHD 15cm",
,S,,Pfaffe,65,60,54,132,126,118,,,,,,,,,
,,,Pfaffe,57,53,33,244,239,217,,,,,,,,,
,W,,Pfaffe,118,110,98,193,187,174,,,,,,,,,
,,,BAh,54,,,74,,,,,,,,,,,
,N,,Pfaffe,57,49,39,,,,,,,,,,,,
,,,Esche,60,45,,61,45,,1,,,,,,,,
73,S,,Esche,119,94,85,140,116,105,1,,,,,,,,
,,,Pfaffe,161,150,131,191,169,152,,,,,,,,,
,,,Pfaffe,73,58,46,164,146,133,,,,,,,,,
,,,Pfaffe,143,90,45,215,161,112,,,,,,,,,
,,,Pfaffe,82,20,,130,42,,,,,,,,,,
,,,Pfaffe,129,104,93,145,111,94,,,,,,,,,
,,,Pfaffe,75,67,65,126,112,107,,,,,,,,,
,,,Pfaffe,60,54,35,83,73,51,,,,,,,,,
,,,Pfaffe,103,80,58,213,179,153,,,,,,,,,
,,,Esche,180,148,122,,,,1,,,,,,,,
,,,Esche,118,105,80,141,129,102,1,,,,,,,,
,,,Pfaffe,95,70,43,214,187,154,,,,,,,,,
,,,Pfaffe,124,118,81,192,186,147,,,,,,,,,
,,,Pfaffe,125,120,80,182,176,137,,,,,,,,,
,,,Pfaffe,140,122,104,153,131,104,,,,,,,,,
,,,Esche,164,141,128,169,145,132,1,,,,,,,,
