"","Plotnummer","Rueckegasse","Esche.markiert","Baumart_kurz","Hoehe","Anzahl.Triebe","Einjaehriger.Saemling","ETS.abgestorben.frisch","ETS.abgestorben.alt","ETS.lebend","Verbiss.lebend","Verbiss.tot","Sonstige.Gruende.tot","Blattflecken","Bemerkungen","ETS.abgestorben.frisch.terminal","ETS.abgestorben.alt.terminal","ETS.lebend.terminal","Verbiss.lebend.terminal","Verbiss.tot.terminal","Sonstige.Gruende.tot.terminal","ETS"
"113",8917,FALSE,NA,"GEs",7,1,FALSE,NA,NA,NA,NA,NA,NA,NA,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"114",8917,FALSE,NA,"GEs",22,1,FALSE,NA,NA,NA,NA,NA,NA,NA,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"115",8917,FALSE,NA,"GEs",6,1,FALSE,NA,NA,NA,NA,NA,NA,NA,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"116",8917,FALSE,NA,"GEs",24,2,FALSE,NA,NA,NA,NA,1,NA,NA,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"117",8917,FALSE,"NO","GEs",7,1,FALSE,NA,NA,NA,NA,NA,NA,NA,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"118",8917,FALSE,"SO","GEs",5,1,FALSE,NA,NA,NA,NA,NA,NA,NA,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"119",8917,FALSE,NA,"GEs",15,1,FALSE,NA,NA,NA,NA,NA,NA,NA,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"120",8917,FALSE,NA,"GEs",8,1,FALSE,NA,NA,NA,NA,NA,NA,NA,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"121",8917,FALSE,NA,"GEs",15,1,FALSE,NA,NA,NA,NA,NA,NA,NA,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"122",8917,FALSE,NA,"GEs",7,1,FALSE,NA,NA,NA,NA,NA,NA,NA,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"123",8917,FALSE,NA,"GEs",11,1,FALSE,NA,NA,NA,NA,NA,NA,NA,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"124",8917,FALSE,NA,"GEs",19,1,FALSE,NA,NA,NA,NA,NA,NA,NA,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"125",8917,FALSE,"SW","GEs",6,1,FALSE,NA,NA,NA,NA,NA,NA,NA,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"126",8917,FALSE,NA,"GEs",7,1,FALSE,NA,NA,NA,NA,NA,NA,NA,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"127",8918,FALSE,NA,"RBu",17,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"128",8918,FALSE,"SO","GEs",21,1,FALSE,NA,NA,NA,NA,NA,NA,2,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"129",8918,FALSE,NA,"GEs",16,1,FALSE,NA,NA,NA,NA,NA,NA,NA,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"130",8918,FALSE,NA,"RBu",35,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"131",8918,FALSE,"NW","GEs",8,1,FALSE,NA,NA,NA,NA,NA,NA,NA,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"132",8919,FALSE,"SW","GEs",21,1,FALSE,NA,NA,NA,NA,NA,NA,1,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"133",8919,FALSE,NA,"RBu",20,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"134",8919,FALSE,NA,"GEs",6,1,FALSE,NA,NA,NA,NA,NA,NA,NA,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"135",8919,FALSE,NA,"GEs",4,1,FALSE,NA,NA,NA,NA,NA,NA,NA,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"136",8919,FALSE,NA,"GEs",5,1,FALSE,NA,NA,NA,NA,NA,NA,NA,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"137",8919,FALSE,NA,"GEs",8,1,FALSE,NA,NA,NA,NA,NA,NA,NA,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"138",8919,FALSE,NA,"GEs",16,1,FALSE,NA,NA,NA,NA,NA,NA,NA,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"139",8919,FALSE,NA,"GEs",7,1,FALSE,NA,NA,NA,NA,NA,NA,NA,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"140",8919,FALSE,NA,"RBu",22,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"141",8919,FALSE,NA,"GEs",20,1,FALSE,NA,NA,NA,NA,NA,NA,NA,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"142",8919,FALSE,NA,"GEs",10,1,FALSE,NA,NA,NA,NA,NA,NA,NA,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"143",8919,FALSE,NA,"GEs",6,1,FALSE,NA,NA,NA,NA,NA,NA,NA,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"144",8919,FALSE,"NW","GEs",11,1,FALSE,NA,NA,NA,NA,NA,NA,1,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"145",8919,FALSE,"SO","GEs",7,1,FALSE,NA,NA,NA,NA,NA,NA,NA,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"146",8919,FALSE,NA,"GEs",11,1,FALSE,NA,NA,NA,NA,NA,NA,NA,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"147",8919,FALSE,NA,"GEs",18,1,FALSE,NA,NA,1,NA,NA,NA,NA,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"148",8919,FALSE,NA,"RBu",16,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"149",8919,FALSE,NA,"GEs",8,1,FALSE,NA,NA,NA,NA,NA,NA,NA,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"150",8919,FALSE,NA,"GEs",7,1,FALSE,NA,NA,NA,NA,NA,NA,NA,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"151",8919,FALSE,NA,"GEs",7,1,FALSE,NA,NA,NA,NA,NA,NA,NA,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"152",8919,FALSE,"NO","GEs",8,1,FALSE,NA,NA,NA,NA,NA,NA,NA,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"153",8920,FALSE,NA,"GEs",13,1,FALSE,NA,NA,NA,NA,NA,NA,NA,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"154",8920,FALSE,"NW","GEs",10,2,FALSE,NA,NA,NA,NA,NA,NA,NA,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"155",8920,FALSE,NA,"GEs",12,5,FALSE,NA,NA,NA,NA,2,NA,NA,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"156",8920,FALSE,NA,"GEs",14,1,FALSE,NA,NA,NA,NA,NA,NA,NA,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
