"","Bemerkungen","Plotnummer","Rueckegasse","Esche.markiert","Baumart_kurz","Hoehe","Anzahl.Triebe","Einjaehriger.Saemling","ETS.abgestorben.frisch","ETS.abgestorben.alt","ETS.lebend","Verbiss.lebend","Verbiss.tot","Sonstige.Gruende.tot","Blattflecken","Zaun","Ausgeschlossen.Rand.Zaun","Flaeche","Jahr","ETS.abgestorben.frisch.terminal","ETS.abgestorben.alt.terminal","ETS.lebend.terminal","Verbiss.lebend.terminal","Verbiss.tot.terminal","Sonstige.Gruende.tot.terminal","Reihenfolge","Aceria.fraxinivora","nicht.gerade","gruene.hoehe","tot","manuell.checken","mehr.ressourcen","ETS","Triebe.lebend"
"61","",8910,FALSE,"NO","GEs",11,3,FALSE,0,0,0,0,0,0,NA,FALSE,FALSE,"goe_pol",2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,61,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,3
"62","",8910,FALSE,NA,"GEs",5,1,FALSE,0,0,0,0,0,0,NA,FALSE,FALSE,"goe_pol",2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,62,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,1
"63","",8910,FALSE,NA,"GEs",5,1,FALSE,0,0,0,0,0,0,NA,FALSE,FALSE,"goe_pol",2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,63,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,1
"64","",8910,FALSE,"NW","GEs",4,1,FALSE,0,0,0,0,0,0,NA,FALSE,FALSE,"goe_pol",2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,64,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,1
"65","",8910,FALSE,NA,"GEs",8,1,FALSE,0,0,0,0,0,0,NA,FALSE,FALSE,"goe_pol",2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,65,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,1
"66","",8910,FALSE,NA,"GEs",17,2,FALSE,0,0,0,0,0,0,NA,FALSE,FALSE,"goe_pol",2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,66,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,2
"67","",8910,FALSE,NA,"GEs",16,2,FALSE,0,0,0,0,0,0,NA,FALSE,FALSE,"goe_pol",2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,67,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,2
"68","",8910,FALSE,NA,"GEs",4,1,FALSE,0,0,0,0,0,0,NA,FALSE,FALSE,"goe_pol",2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,68,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,1
"69","",8910,FALSE,NA,"GEs",12,1,FALSE,0,0,0,0,0,0,NA,FALSE,FALSE,"goe_pol",2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,69,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,1
"70","",8910,FALSE,NA,"GEs",10,1,FALSE,0,0,0,0,0,0,NA,FALSE,FALSE,"goe_pol",2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,70,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,1
"71","",8910,FALSE,NA,"GEs",15,3,FALSE,0,0,0,0,0,0,NA,FALSE,FALSE,"goe_pol",2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,71,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,3
"72","",8910,FALSE,NA,"GEs",6,1,FALSE,0,0,0,0,0,0,NA,FALSE,FALSE,"goe_pol",2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,72,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,1
"73","",8910,FALSE,NA,"GEs",6,1,FALSE,0,0,0,0,0,0,NA,FALSE,FALSE,"goe_pol",2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,73,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,1
"74","",8910,FALSE,"SW","GEs",7,1,FALSE,0,0,0,0,0,0,NA,FALSE,FALSE,"goe_pol",2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,74,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,1
"75","",8910,FALSE,NA,"GEs",6,1,FALSE,0,0,0,0,0,0,NA,FALSE,FALSE,"goe_pol",2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,75,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,1
"76","",8910,FALSE,"SO","GEs",10,1,FALSE,0,0,0,0,0,0,3,FALSE,FALSE,"goe_pol",2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,76,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,1
"77","",8911,FALSE,"NO","GEs",6,1,FALSE,0,0,0,0,0,0,3,FALSE,FALSE,"goe_pol",2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,77,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,1
"78","",8911,FALSE,NA,"GEs",9,2,FALSE,0,0,0,0,0,1,NA,FALSE,FALSE,"goe_pol",2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,78,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,1
"79","",8911,FALSE,NA,"GEs",8,1,FALSE,0,0,0,0,0,0,NA,FALSE,FALSE,"goe_pol",2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,79,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,1
