"","Plotnummer","n_trees","n_species","n_ash","n_bah","location","height_mean","height_median","height_max","height_min","n_ets_new","n_ets_old","n_ets_total","Verbiss","comment","Rueckegasse"
"104",9004,48,4,44,2,"goe_pol",15.31,15,29,7,0,0,0,0,"",FALSE
"105",9005,25,2,23,2,"goe_pol",15.48,15,28,4,0,0,0,3,"",FALSE
"106",9006,16,3,13,2,"goe_pol",22.5,20,41,13,0,0,0,5,"",FALSE
"107",9007,35,3,32,1,"goe_pol",16.94,14,40,7,0,0,0,0,"",FALSE
"108",9008,41,3,34,4,"goe_pol",20.1,12,120,6,0,0,0,0,"war so",FALSE
"109",9009,15,2,13,2,"goe_pol",14.73,12,26,6,0,0,0,4,"",FALSE
"110",9010,13,3,7,5,"goe_pol",22.46,19,67,7,0,0,0,0,"",FALSE
"111",9011,26,3,23,2,"goe_pol",13.88,11.5,40,6,0,0,0,0,"",FALSE
"112",9012,4,1,4,0,"goe_pol",10.75,10,16,7,0,0,0,0,"",FALSE
"113",9013,11,4,4,1,"goe_pol",15.91,13,60,4,0,0,0,0,"",FALSE
"114",9014,13,4,0,0,"goe_pol",12.69,7,43,5,0,0,0,0,"",FALSE
"115",9015,8,3,4,0,"goe_pol",25.75,11,126,6,0,0,0,0,"",FALSE
"116",9016,11,3,9,1,"goe_pol",9.36,9,13,5,0,0,0,0,"",FALSE
"117",9017,17,4,9,1,"goe_pol",24.94,10,145,3,0,0,0,0,"große esche im nw u. sw umgefallen",FALSE
"118",8701,29,3,17,8,"goe_ans",13.48,11,42,3,0,0,0,1,"",FALSE
"119",8702,42,4,17,17,"goe_ans",16.19,15,35,6,0,0,0,0,"",FALSE
"120",8703,34,3,32,1,"goe_ans",19.12,18,39,7,1,3,4,2,"tot",FALSE
"121",8704,20,2,17,3,"goe_ans",12.35,11,23,5,0,0,0,1,"",FALSE
"122",8705,42,4,34,6,"goe_ans",7.88,7,15,4,0,0,0,0,"",FALSE
"123",8706,24,3,11,11,"goe_ans",9.08,8.5,14,4,0,0,0,0,"",FALSE
"124",8707,17,3,10,6,"goe_ans",12.47,13,25,7,0,0,0,1,"",FALSE
"125",8708,20,3,13,6,"goe_ans",13.5,13,24,6,0,0,0,0,"",FALSE
"126",8709,20,3,7,11,"goe_ans",9.45,9,15,4,0,0,0,0,"rbu (3) im sw",FALSE
"127",8710,16,4,10,4,"goe_ans",8.75,9,16,4,0,0,0,0,"",FALSE
"128",8711,41,3,27,11,"goe_ans",8.17,8,12,4,0,0,0,0,"",FALSE
"129",8712,35,4,20,12,"goe_ans",9.94,9,23,4,1,0,1,1,"",FALSE
"130",8713,68,4,39,26,"goe_ans",10.21,9,27,3,1,0,1,2,"",FALSE
"131",8714,45,3,31,6,"goe_ans",12.13,10,47,7,0,0,0,0,"",FALSE
"132",8715,46,4,34,9,"goe_ans",16.78,16,64,6,0,0,0,0,"",FALSE
"133",8716,13,4,10,0,"goe_ans",60.62,12,648,4,0,2,2,0,"Baum 130 steht auf der NW Ecke ,  eine kleine Buche dmoninert den Plot",FALSE
"134",8717,15,3,12,2,"goe_ans",21.13,22,32,14,0,0,0,1,"Im SO ist eine Menge Stockausschlag des Buchenstubbens",FALSE
"135",8718,26,2,18,8,"goe_ans",7.46,7,13,4,0,0,0,0,"",FALSE
"136",8719,50,5,24,22,"goe_ans",8.56,8,17,4,1,1,2,0,"",FALSE
"137",8720,71,4,46,23,"goe_ans",8.8,8,38,4,0,0,0,0,"",FALSE
"138",8721,20,3,13,6,"goe_ans",6.25,5,14,2,0,0,0,0,"",FALSE
"139",8722,17,2,12,5,"goe_ans",8,8,13,4,0,0,0,0,"",FALSE
"140",8723,43,5,25,12,"goe_ans",12.53,13,21,5,0,1,1,0,"",FALSE
"141",8724,48,2,32,16,"goe_ans",8,7,18,4,0,0,0,0,"",FALSE
"142",8725,62,4,22,38,"goe_ans",9.23,9,15,6,0,1,1,0,"",FALSE
"143",8726,53,3,28,22,"goe_ans",9.91,9,45,5,0,0,0,1,"",FALSE
"144",8727,93,3,58,31,"goe_ans",7.49,7,16,4,0,0,0,0,"",FALSE
"145",8728,90,3,51,38,"goe_ans",17.07,15,50,5,0,0,0,1,"norden domeniert duch rbu stock ausschlag",FALSE
"146",8729,92,5,51,36,"goe_ans",9.29,9,26,3,0,0,0,0,"",FALSE
"147",8730,22,4,17,3,"goe_ans",19.36,17,41,8,0,0,0,0,"",FALSE
"148",8731,1,1,1,0,"goe_ans",13,13,13,13,0,0,0,0,"",FALSE
"149",8732,19,2,18,1,"goe_ans",24.68,17,64,7,0,0,0,1,"",FALSE
"150",8733,46,5,34,9,"goe_ans",18.33,12,148,5,0,0,0,2,"",FALSE
"151",8734,70,3,58,11,"goe_ans",10.04,10,16,4,0,0,0,0,"tot",FALSE
"152",8735,73,3,51,21,"goe_ans",12.44,12,20,5,0,0,0,3,"",FALSE
"153",8736,90,4,52,36,"goe_ans",8.79,8,27,4,0,0,0,0,"",FALSE
"154",8737,28,4,20,6,"goe_ans",8.36,8,17,3,0,0,0,0,"",FALSE
"155",8738,20,3,9,7,"goe_ans",9.95,8.5,20,6,0,0,0,0,"",FALSE
