"","Plotnummer","n_trees_2021","n_species_2021","n_ash_2021","n_bah_2021","height_mean_2021","height_median_2021","height_max_2021","height_min_2021","n_ets_new_2021","n_ets_old_2021","n_ets_total_2021","Verbiss_2021","comment_2021","Zaun_2021","Ausschluss_2021","Rueckegasse_2021","n_trees_2022","n_species_2022","n_ash_2022","n_bah_2022","location","height_mean_2022","height_median_2022","height_max_2022","height_min_2022","n_ets_new_2022","n_ets_old_2022","n_ets_total_2022","Verbiss_2022","comment_2022","Rueckegasse_2022","x","y","TSF","DSF","ISF","ets_2021_ratio","ets_2022_ratio","ETS_ratio","n_ash","n_bah","n_trees","Zuwachs","ZuwachsBAh","ZuwachsGEs"
"45",8945,11,2,6,0,5,5,9,1,0,0,0,0,"",TRUE,FALSE,FALSE,6,2,5,0,"goe_pol",12,12,16,7,0,0,0,0,"",FALSE,13.7991121183687,39.5317574565213,0.19,0.2,0.18,0,0,0,5.5,0,8.5,7,NA,6.5
"46",8946,18,3,15,2,13.22,10,80,5,0,1,1,0,"",TRUE,FALSE,FALSE,18,3,15,2,"goe_pol",27.72,23.5,147,7,0,0,0,0,"",FALSE,8.90299806525982,38.5583784388101,0.23,0.21,0.25,0.0666666666666667,0,0.0333333333333333,15,2,18,17,33,14
"47",8947,19,3,15,3,10.47,9,23,5,2,2,3,1,"",TRUE,FALSE,FALSE,15,3,13,1,"goe_pol",12.27,10,26,6,1,3,4,1,"",FALSE,9.91693454204238,33.8581089478256,0.21,0.21,0.22,0.2,0.307692307692308,0.253846153846154,14,2,17,0.5,-4,0
"48",8948,12,2,10,0,10.75,7.5,30,5,0,0,0,0,"",TRUE,FALSE,FALSE,13,2,12,0,"goe_pol",12.08,9,41,5,0,0,0,1,"278 liegt im plott im süden",FALSE,14.8130485951512,34.8314879655369,0.15,0.16,0.14,0,0,0,11,0,12.5,0,NA,2
"49",8949,13,4,10,1,9.15,9,25,4,0,0,0,2,"",TRUE,FALSE,FALSE,12,4,9,1,"goe_pol",11.92,11,29,5,0,1,1,1,"",FALSE,19.70916264826,35.8048669832481,0.23,0.26,0.18,0,0.111111111111111,0.0555555555555556,9.5,1,12.5,3.5,1,4
"50",8950,15,4,12,1,8.6,9,20,4,0,0,0,0,"",TRUE,FALSE,FALSE,16,4,13,1,"goe_pol",16.88,16.5,32,7,0,0,0,0,"",FALSE,24.6052767013689,36.7782460009594,0.21,0.23,0.18,0,0,0,12.5,1,15.5,11,8,11.5
"51",8951,18,2,17,1,6.56,6,15,3,0,0,0,0,"",TRUE,FALSE,FALSE,18,2,17,1,"goe_pol",8.28,8,16,6,0,0,0,0,"",FALSE,29.5013907544777,37.7516250186706,0.18,0.18,0.17,0,0,0,17,1,18,1,5,1
"52",8952,20,3,18,1,5.7,6,9,3,1,0,1,0,"",TRUE,FALSE,FALSE,16,2,15,0,"goe_pol",8.31,8.5,11,6,0,0,0,0,"",FALSE,34.3975048075865,38.7250040363819,0.17,0.15,0.21,0.0555555555555556,0,0.0277777777777778,16.5,0.5,18,2.5,NA,2.5
"53",8953,10,3,7,2,6.6,6.5,11,4,0,0,0,1,"",TRUE,FALSE,FALSE,14,4,9,3,"goe_pol",8.29,8.5,17,5,0,0,0,0,"",FALSE,39.2936188606954,39.6983830540931,0.14,0.13,0.15,0,0,0,8,2.5,12,2,6,2
"54",8954,53,3,48,4,8.08,8,20,4,1,0,1,1,"",TRUE,FALSE,FALSE,57,3,51,4,"goe_pol",11.54,11,35,6,0,0,0,1,"",FALSE,44.1897329138042,40.6717620718044,0.2,0.18,0.22,0.0208333333333333,0,0.0104166666666667,49.5,4,55,4.5,6,5
"55",8955,44,3,40,0,7.89,7,15,3,0,0,0,2,"",TRUE,FALSE,FALSE,27,3,25,0,"goe_pol",10.26,10,18,5,0,0,0,2,"",FALSE,49.085846966913,41.6451410895157,0.07,0.05,0.09,0,0,0,32.5,0,35.5,2,NA,2.5
"56",8956,31,4,26,1,7.74,7,15,3,0,0,0,1,"",TRUE,FALSE,FALSE,20,3,17,1,"goe_pol",9.2,8.5,15,4,0,0,0,1,"",FALSE,53.9819610200218,42.6185201072269,0.13,0.15,0.09,0,0,0,21.5,1,25.5,0,1,0
"57",8957,8,2,7,0,6.38,6.5,9,3,0,0,0,0,"Teil des Buchenstammes verdeckt den Plot",TRUE,FALSE,FALSE,6,1,6,0,"goe_pol",7.83,7.5,10,6,0,0,0,0,"Buche 101 steht auf der Nordostecke des Plots, Nordost Esche wurde letztes Mal übersehen, aber markeirt",FALSE,58.8780750731307,43.5918991249382,0.03,0.04,0.02,0,0,0,6.5,0,7,1,NA,1
"58",8958,29,4,20,1,8.59,7,37,3,0,0,0,0,"",TRUE,FALSE,FALSE,22,5,15,1,"goe_pol",9.32,7.5,35,3,1,0,1,2,"",FALSE,54.9958974968044,37.9182506162424,0.13,0.17,0.07,0,0.0666666666666667,0.0333333333333333,17.5,1,25.5,0,0,0
"59",8959,14,1,14,0,6.64,7,9,4,0,0,0,0,"",TRUE,FALSE,FALSE,16,1,16,0,"goe_pol",9.44,9.5,13,5,0,0,0,2,"",FALSE,50.0997834436956,36.9448715985312,0.17,0.21,0.1,0,0,0,15,0,15,4,NA,4
"60",8960,8,3,6,1,5.12,5,10,2,0,0,0,0,"",TRUE,FALSE,FALSE,7,2,6,0,"goe_pol",6.57,7,11,4,0,0,0,0,"",FALSE,45.2036693905868,35.9714925808199,0.28,0.34,0.18,0,0,0,6,0.5,7.5,1,NA,0.5
"61",8961,7,2,6,0,5,5,7,4,0,0,0,0,"",TRUE,FALSE,FALSE,5,1,5,0,"goe_pol",7.6,7,10,6,0,0,0,0,"",FALSE,40.3075553374779,34.9981135631087,0.1,0.11,0.09,0,0,0,5.5,0,6,2,NA,3
"62",8962,19,3,17,1,6.53,6,11,3,0,0,0,0,"",TRUE,FALSE,FALSE,18,2,17,1,"goe_pol",7.89,8,12,5,0,0,0,1,"",FALSE,35.4114412843691,34.0247345453974,0.18,0.17,0.19,0,0,0,17,1,18.5,2,1,2
"63",8963,35,4,23,3,7.03,7,13,1,1,0,1,0,"",TRUE,FALSE,FALSE,32,4,22,3,"goe_pol",12.38,12,33,6,0,1,1,0,"",FALSE,30.5153272312603,33.0513555276862,0.16,0.13,0.21,0.0434782608695652,0.0454545454545455,0.0444664031620553,22.5,3,33.5,3,5,3
"64",8964,27,4,22,2,7.48,7,19,1,0,1,1,0,"",TRUE,FALSE,FALSE,25,3,21,3,"goe_pol",9.64,9,18,5,0,0,0,1,"",FALSE,25.6192131781514,32.0779765099749,0.16,0.12,0.22,0.0454545454545455,0,0.0227272727272727,21.5,2.5,26,2,-1,2
"65",8965,14,2,13,0,8.07,7.5,16,1,0,0,0,0,"",TRUE,FALSE,FALSE,11,1,11,0,"goe_pol",8.91,8,14,4,0,0,0,0,"",FALSE,20.7230991250426,31.1045974922636,0.13,0.11,0.17,0,0,0,12,0,12.5,-1,NA,-1.5
"66",8966,5,2,4,1,6.8,6,10,5,0,0,0,1,"",TRUE,FALSE,FALSE,6,2,4,2,"goe_pol",6.33,6.5,8,4,0,0,0,0,"tot",FALSE,15.8269850719338,30.1312184745524,0.14,0.12,0.18,0,0,0,4,1.5,5.5,-1,-4,1
