"","Plotnummer","n_trees","n_species","n_ash","n_bah","location","height_mean","height_median","height_max","height_min","n_ets_new","n_ets_old","n_ets_total","Verbiss","comment","Zaun","Ausschluss","Rueckegasse"
"80",8980,36,6,24,4,"goe_pol",9.83,7,26,2,0,0,0,0,"",TRUE,FALSE,FALSE
"81",8981,8,2,6,0,"goe_pol",5.75,7,8,2,0,0,0,0,"",TRUE,FALSE,FALSE
"82",8982,26,2,25,1,"goe_pol",5.81,5,12,3,0,0,0,0,"",TRUE,FALSE,FALSE
"83",8983,16,3,14,1,"goe_pol",6.44,6,11,3,0,0,0,0,"",TRUE,FALSE,FALSE
"84",8984,11,2,10,1,"goe_pol",6.09,5,15,3,0,0,0,0,"",TRUE,FALSE,FALSE
"85",8985,6,2,5,0,"goe_pol",6.83,6,10,5,0,0,0,0,"",TRUE,FALSE,FALSE
"86",8986,11,3,9,0,"goe_pol",7.09,6,12,4,0,0,0,0,"",TRUE,FALSE,FALSE
"87",8987,10,2,9,0,"goe_pol",6.8,6.5,13,4,0,0,0,0,"",TRUE,FALSE,FALSE
"88",8988,18,1,18,0,"goe_pol",6.44,5.5,16,3,0,0,0,0,"",TRUE,FALSE,FALSE
"89",8989,19,1,19,0,"goe_pol",6.32,6,12,4,2,1,3,1,"",TRUE,FALSE,FALSE
"90",8990,34,2,30,4,"goe_pol",6.88,6,19,3,2,0,2,0,"",TRUE,FALSE,FALSE
"91",8991,32,4,29,1,"goe_pol",6.41,6,12,3,1,0,1,1,"",TRUE,FALSE,FALSE
"92",8992,30,3,26,3,"goe_pol",5.23,5,8,3,0,0,0,0,"",TRUE,FALSE,FALSE
"93",8993,24,5,16,2,"goe_pol",11.33,7,86,4,0,0,0,0,"",TRUE,FALSE,FALSE
"94",8994,26,3,23,0,"goe_pol",11,10,20,3,0,0,0,0,"",TRUE,FALSE,FALSE
"95",8995,37,4,30,2,"goe_pol",9.59,9,20,5,0,0,0,1,"",TRUE,FALSE,FALSE
"96",8996,17,3,12,0,"goe_pol",57.29,6,800,3,1,0,1,0,"",TRUE,FALSE,FALSE
"97",8997,35,3,30,2,"goe_pol",6.77,6,15,4,0,0,0,1,"",TRUE,FALSE,FALSE
"98",8998,26,4,20,0,"goe_pol",6.46,5,17,3,1,0,1,0,"",TRUE,FALSE,FALSE
"99",8999,45,5,29,2,"goe_pol",10.98,10,24,2,1,0,1,1,"",TRUE,FALSE,FALSE
"100",9000,26,5,14,2,"goe_pol",8.92,7.5,17,2,1,0,1,0,"",TRUE,FALSE,FALSE
"101",9001,55,6,22,6,"goe_pol",10.05,10,30,1,1,0,1,1,"",TRUE,FALSE,FALSE
"102",9002,30,4,25,2,"goe_pol",9.73,7,27,5,2,0,2,1,"",TRUE,FALSE,FALSE
"103",9003,32,5,23,4,"goe_pol",6.31,6,12,2,0,0,0,0,"",TRUE,FALSE,FALSE
"104",9004,52,4,43,5,"goe_pol",8.37,8.5,17,2,5,0,5,2,"",TRUE,FALSE,FALSE
"105",9005,24,4,18,3,"goe_pol",7.92,8,13,2,0,0,0,0,"",TRUE,FALSE,FALSE
"106",9006,29,4,25,2,"goe_pol",8.97,8,17,2,0,0,0,0,"",TRUE,FALSE,FALSE
"107",9007,42,3,40,0,"goe_pol",11.48,8,41,2,2,0,2,2,"",TRUE,FALSE,FALSE
"108",9008,53,4,42,6,"goe_pol",12.19,7,86,4,0,1,1,0,"",TRUE,FALSE,FALSE
"109",9009,9,1,9,0,"goe_pol",7.44,8,9,4,0,0,0,0,"",TRUE,FALSE,FALSE
