"","location","Plotnummer","n_trees","ash_ratio","n_ash"
"292","Goe_Ansitz",8786,24,0.666666666666667,16
"293","Goe_Ansitz",8799,12,0.666666666666667,8
"294","Goe_Ansitz",8809,15,0.666666666666667,10
"295","Goe_Polter",8901,3,0.666666666666667,2
"296","Goe_Polter",8902,3,0.666666666666667,2
"297","Goe_Polter",8979,45,0.666666666666667,30
"298","Goe_Polter",8980,36,0.666666666666667,24
"299","Goe_Polter",8993,24,0.666666666666667,16
"300","Lau_Steinhorst",227,55,0.672727272727273,37
"301","Goe_Ansitz",8711,43,0.674418604651163,29
"302","Goe_Ansitz",8704,34,0.676470588235294,23
"303","Lau_Steinhorst",190,62,0.67741935483871,42
"304","Goe_Ansitz",8762,53,0.679245283018868,36
"305","Goe_Ansitz",8721,25,0.68,17
"306","Goe_Ansitz",8742,32,0.6875,22
"307","Goe_Polter",8958,29,0.689655172413793,20
"308","Goe_Ansitz",8718,33,0.696969696969697,23
"309","Goe_Polter",8953,10,0.7,7
"310","Goe_Ansitz",8730,27,0.703703703703704,19
"311","Goe_Ansitz",8766,51,0.705882352941177,36
"312","Goe_Polter",8996,17,0.705882352941177,12
"313","Goe_Ansitz",8733,58,0.706896551724138,41
"314","Lau_Steinhorst",208,72,0.708333333333333,51
"315","Goe_Ansitz",8735,86,0.709302325581395,61
"316","Lau_Steinhorst",286,35,0.714285714285714,25
"317","Goe_Ansitz",8787,21,0.714285714285714,15
"318","Goe_Ansitz",8796,7,0.714285714285714,5
"319","Goe_Polter",8905,7,0.714285714285714,5
"320","Goe_Ansitz",8744,60,0.716666666666667,43
"321","Goe_Ansitz",8815,39,0.717948717948718,28
"322","Goe_Polter",9003,32,0.71875,23
"323","Lau_Steinhorst",291,25,0.72,18
"324","Goe_Polter",8944,25,0.72,18
"325","Goe_Polter",8977,18,0.722222222222222,13
"326","Goe_Polter",8969,11,0.727272727272727,8
"327","Lau_Steinhorst",237,106,0.735849056603774,78
"328","Lau_Steinhorst",207,19,0.736842105263158,14
"329","Goe_Ansitz",8789,23,0.739130434782609,17
"330","Lau_Steinhorst",15,8,0.75,6
"331","Lau_Steinhorst",36,4,0.75,3
"332","Lau_Steinhorst",211,40,0.75,30
"333","Lau_Steinhorst",220,72,0.75,54
"334","Lau_Steinhorst",276,12,0.75,9
"335","Lau_Steinhorst",295,16,0.75,12
"336","Lau_Steinhorst",297,4,0.75,3
"337","Goe_Ansitz",8801,8,0.75,6
"338","Goe_Polter",8916,4,0.75,3
"339","Goe_Polter",8934,12,0.75,9
