Plotnummer,Quadrant,Rueckegasse,Esche markiert,Baumart,Hoehe,Hoehe Vorjahr,Hoehe Vorvorjahr,Anzahl Triebe,ETS abgestorben frisch,ETS abgestorben alt,ETS lebend,Verbiss lebend,Verbiss tot,Sonstige Gruende tot,Bemerkungen,Rand,Zaun
,,,,esch,272,249,215,11,,2,,2,,,,FALSE,FALSE
,,,,esch,314,287,250,6,,,,,,,,FALSE,FALSE
,,,,esch,135,102,49,1,,,,,,,,FALSE,FALSE
29,,,,,,,,,,,,,,,keine baueme,FALSE,FALSE
30,nw,,nw,esch,456,346,304,8,,,,,1,3,,FALSE,FALSE
,sw,,,hasel,498,,,,,,,,,,,FALSE,FALSE
,,,,hasel,825,818,809,,,,,,,,,FALSE,FALSE
,,,,hasel,3290,2640,2075,,,,,,,,,FALSE,FALSE
31,so,,so,esch,101,92,76,1,,,,,,,,FALSE,FALSE
,,,,bah,98,60,,,,,,,,,,FALSE,FALSE
32,,,,,,,,,,,,,,,"baum 209 liegt im plot, keinebaeume",FALSE,FALSE
33,,,,,,,,,,,,,,,rand,TRUE,FALSE
36,so,,,fichte,41,,,,,,,,,,,FALSE,FALSE
,sw,,,hbu,57,,,,,,,,,,,FALSE,FALSE
,so,,,bah,100,,,,,,,,,,,FALSE,FALSE
,sw,,,esch,70,62,54,1,,,,,,,,FALSE,FALSE
,,,,esch,68,56,48,1,,,,,,,,FALSE,FALSE
,so,,,esch,91,66,58,1,,,,,,,,FALSE,FALSE
,sw,,,bah,174,114,93,,,,,,,,,FALSE,FALSE
,so,,so,esch,53,42,,,,,,,,t1,gruen bis 28,FALSE,FALSE
,sw,,,hbu,62,36,,,,,,,,,,FALSE,FALSE
,so,,,esch,74,59,,1,,,,,,,,FALSE,FALSE
,so,,,esch,62,48,43,1,,,,,,,,FALSE,FALSE
,sw,,,esch,56,47,,1,,,,,,,,FALSE,FALSE
,so,,,hbu,35,23,,,,,,,,,,FALSE,FALSE
,sw,,,esch,45,36,,1,,,,,,,,FALSE,FALSE
,,,sw,hasel,45,34,,,,,,,,,,FALSE,FALSE
,,,,hbu,79,64,,,,,,,,,,FALSE,FALSE
,,,,bah,122,106,63,,,,,,,,,FALSE,FALSE
,no,,,bah,63,,,,,,,,,,,FALSE,FALSE
,,,no,esch,57,48,42,2,,,,,,,,FALSE,FALSE
,sw,,,hbu,45,39,,,,,,,,,,FALSE,FALSE
,no,,,esch,69,61,,2,,,,,,,,FALSE,FALSE
,nw,,,hasel,121,42,,,,,,,,,,FALSE,FALSE
37,so,,so,esch,621,603,598,10,,,,,1,4,,FALSE,FALSE
38,no,,,bah,234,218,216,,,,,,,,,FALSE,FALSE
,so,,,esch,227,212,188,3,,,,,,1,,FALSE,FALSE
,nw,,,esch,243,179,151,3,,2,,,,,,FALSE,FALSE
39,,,,,,,,,,,,,,,keine baeume,FALSE,FALSE
40,nw,,,bah,265,249,231,,,,,,,,,FALSE,FALSE
,no,,,bah,165,147,126,,,,,,,,,FALSE,FALSE
,so,,,bah,193,172,161,,,,,,,,,FALSE,FALSE
41,,,,,,,,,,,,,,,rand,TRUE,FALSE
42,,,,,,,,,,,,,,,rand,TRUE,FALSE
43,no,,,roter hartriegel,346,315,289,,,,,,,,,FALSE,FALSE
,so,,,bah,68,50,,,,,,,,,,FALSE,FALSE
,,,,bah,205,173,139,,,,,,,,,FALSE,FALSE
,nw,,,bah,236,202,174,,,,,,,,,FALSE,FALSE
,sw,,,bah,98,79,,,,,,,,,,FALSE,FALSE
,,,,bah,104,91,82,,,,,,,,,FALSE,FALSE
44,nw,,,bah,571,558,526,,,,,,,,,FALSE,FALSE
,,,,esch,317,237,175,1,,,,,,,,FALSE,FALSE
45,,,,,,,,,,,,,,,keine baeume,FALSE,FALSE
35,nw,,nw,esch,83,74,44,1,,,,,,,,FALSE,FALSE
,no,,,esch,66,58,52,,,,,,,,,FALSE,FALSE
,,,,esch,71,59,48,1,,,,,,,,FALSE,FALSE
,,,no,esch,94,79,63,1,,,,,,,,FALSE,FALSE
,,,,hbu,56,50,,,,,,,,,,FALSE,FALSE
,so,,so,esch,85,56,34,1,,,,,,,,FALSE,FALSE
34,,,,,,,,,,,,,,,rand,TRUE,FALSE
49,so,,so,esch,78,54,,1,,,,,,,,FALSE,FALSE
,sw,,sw,esch,94,56,47,1,,,,,,,,FALSE,FALSE
,no,,,esch,56,44,32,1,,,,,,,,FALSE,FALSE
48,so,,so,esch,217,182,155,2,,,,,,,baum 158 und 159 liegen im Plot,FALSE,FALSE
,so,,,esch,56,,,1,,,,,,,,FALSE,FALSE
47,sw,,,bah,102,89,78,,,,,,,,,FALSE,FALSE
,,,,bah,137,127,121,,,,,,,,,FALSE,FALSE
,,,sw,esch,72,,,1,,,,,,,,FALSE,FALSE
,,,,bah,365,357,345,,,,,,,,,FALSE,FALSE
,nw,,,esch,293,229,216,9,,1,,,,1,,FALSE,FALSE
,SW,,,bah,150,112,92,,,,,,,,,FALSE,FALSE
,nw,,,esch,68,55,,1,,,,,,,,FALSE,FALSE
,sw,,,esch,85,73,,1,,,,,,,,FALSE,FALSE
,nw,,,bah,156,121,97,,,,,,,,,FALSE,FALSE
,,,nw,esch,76,64,57,1,,,,,,,,FALSE,FALSE
,,,,bah,166,140,112,,,,,,,,,FALSE,FALSE
,so,,,esch,66,,,1,,,,,,,,FALSE,FALSE
,nw,,,bah,106,94,79,,,,,,,,,FALSE,FALSE
,,,,bah,133,117,104,,,,,,,,,FALSE,FALSE
,so,,so,esch,47,39,,1,,,,,,,,FALSE,FALSE
,no,,,rbu,118,101,73,,,,,,,,,FALSE,FALSE
,,,no,esch,94,82,69,1,,,,,,,,FALSE,FALSE
46,so,,,esch,4060,3800,3675,51,10,10,5,,,,,FALSE,FALSE
50,,,,,,,,,,,,,,,,TRUE,FALSE
51,sw,,,esch,75,,,1,,,,,,,,FALSE,FALSE
,,,sw,esch,71,,,1,,,,,,,,FALSE,FALSE
,so,,so,esch,98,81,70,1,,,,,,,,FALSE,FALSE
,,,,hbu,58,54,,,,,,,,,,FALSE,FALSE
,no,,,hbu,343,231,173,,,,,,,,,FALSE,FALSE
52,sw,,sw,esch,78,62,,1,,,,,,,,FALSE,FALSE
,,,,esch,69,61,,1,,,,,,,,FALSE,FALSE
,no,,,bah,133,114,98,,,,,,,,,FALSE,FALSE
53,sw,,,bah,139,125,121,,,,,,,,,FALSE,FALSE
,no,,,bah,102,97,86,,,,,,,,,FALSE,FALSE
,so,,,bah,471,400,368,,,,,,,,,FALSE,FALSE
,nw,,,bah,133,109,98,,,,,,,,,FALSE,FALSE
,so,,,bah,85,57,,,,,,,,,,FALSE,FALSE
,,,,bah,91,,,,,,,,,,,FALSE,FALSE
54,no,,,bah,105,81,60,,,,,,,,,FALSE,FALSE
,,,,esch,72,60,47,1,,,,,,,,FALSE,FALSE
,,,,bah,48,31,,,,,,,,,,FALSE,FALSE
55,,,,,,,,,,,,,,,keine baume,FALSE,FALSE
56,,,,,,,,,,,,,,,keine baume,FALSE,FALSE
57,nw,,,bah,388,369,355,,,,,,,,,FALSE,FALSE
,,,,bah,384,364,349,,,,,,,,,FALSE,FALSE
,,,,bah,430,413,342,,,,,,,,,FALSE,FALSE
,,,,bah,140,126,108,,,,,,,,,FALSE,FALSE
,no,,,bah,226,197,155,,,,,,,,,FALSE,FALSE
,,,,bah,111,99,90,,,,,,,,,FALSE,FALSE
,,,,bah,257,242,232,,,,,,,,,FALSE,FALSE
,,,,bah,193,174,162,,,,,,,,,FALSE,FALSE
,,,,hbu,59,43,22,,,,,,,,,FALSE,FALSE
,,,,hbu,96,84,78,,,,,,,,,FALSE,FALSE
,,,,hbu,99,84,67,,,,,,,,,FALSE,FALSE
,,,,hbu,106,85,74,,,,,,,,,FALSE,FALSE
,sw,,,bah,175,162,151,,,,,,,,,FALSE,FALSE
,,,,bah,176,159,123,,,,,,,,,FALSE,FALSE
,,,,bah,182,168,150,,,,,,,,,FALSE,FALSE
,,,,rbu,218,207,178,,,,,,,,,FALSE,FALSE
,,,,bah,145,123,107,,,,,,,,,FALSE,FALSE
,,,,bah,172,153,128,,,,,,,,,FALSE,FALSE
,,,,bah,117,109,106,,,,,,,,,FALSE,FALSE
,,,,hbu,61,57,,,,,,,,,,FALSE,FALSE
,,,,hbu,60,57,,,,,,,,,,FALSE,FALSE
,so,,,bah,98,87,59,,,,,,,,,FALSE,FALSE
,,,,hbu,63,53,,,,,,,,,,FALSE,FALSE
58,,,,,,,,,,,,,,,rand,TRUE,FALSE
59,,,,,,,,,,,,,,,rand,TRUE,FALSE
60,no,,,rbu,99,,,,,,,,,,,FALSE,FALSE
,,,no,esch,104,91,67,1,,,,,,,,FALSE,FALSE
,sw,,,holunder,653,627,602,,,,,,,,,FALSE,FALSE
,nw,,,holunder,734,713,615,,,,,,,,,FALSE,FALSE
,so,,,bah,101,90,,,,,,,,,,FALSE,FALSE
,,,,bah,225,168,143,,,,,,,,,FALSE,FALSE
,,,,holunder,373,367,351,,,,,,,,,FALSE,FALSE
,,,,holunder,205,196,191,,,,,,,,,FALSE,FALSE
,,,,holunder,863,844,830,,,,,,,,,FALSE,FALSE
91,sw,,,rbu,205,164,138,,,,,,,,,FALSE,FALSE
,,,,bah,101,,,,,,,,,,,FALSE,FALSE
,,,,bah,156,139,126,,,,,,,,,FALSE,FALSE
,no,,,bah,105,93,87,,,,,,,,,FALSE,FALSE
,,,,bah,234,211,198,,,,,,,,,FALSE,FALSE
,,,,rbu,179,155,119,,,,,,,,,FALSE,FALSE
,,,no,esch,79,,,1,,,,,,,,FALSE,FALSE
,,,,bah,138,127,115,,,,,,,,,FALSE,FALSE
,,,,bah,139,125,116,,,,,,,,,FALSE,FALSE
,,,,bah,144,112,105,,,,,,,,,FALSE,FALSE
,,,,bah,361,314,290,,,,,,,,,FALSE,FALSE
,sw,,,bah,90,,,,,,,,,,,FALSE,FALSE
,nw,,,bah,93,88,87,,,,,,,,,FALSE,FALSE
,,,,bah,108,97,91,,,,,,,,,FALSE,FALSE
,,,,bah,220,186,151,,,,,,,,,FALSE,FALSE
,,,,bah,195,176,155,,,,,,,,,FALSE,FALSE
,,,,bah,160,144,121,,,,,,,,,FALSE,FALSE
,,,,bah,125,111,92,,,,,,,,,FALSE,FALSE
,,,,bah,77,67,57,,,,,,,,,FALSE,FALSE
,,,,bah,99,,,,,,,,,,,FALSE,FALSE
,,,,bah,185,164,144,,,,,,,,,FALSE,FALSE
,,,,bah,116,,,,,,,,,,,FALSE,FALSE
,so,,,bah,161,154,139,,,,,,,,,FALSE,FALSE
