"","Bemerkungen_21","Plotnummer","Rueckegasse_21","Esche.markiert","Hoehe_21","Anzahl.Triebe_21","Einjaehriger.Saemling_21","ETS.abgestorben.frisch_21","ETS.abgestorben.alt_21","ETS.lebend_21","Verbiss.lebend_21","Verbiss.tot_21","Sonstige.Gruende.tot_21","Blattflecken_21","Zaun","Flaeche","ETS.abgestorben.frisch.terminal_21","ETS.abgestorben.alt.terminal_21","ETS.lebend.terminal_21","Verbiss.lebend.terminal_21","Verbiss.tot.terminal_21","Sonstige.Gruende.tot.terminal_21","Aceria.fraxinivora_21","nicht.gerade_21","gruene.hoehe_21","tot_21","manuell.checken","mehr.ressourcen_21","ETS_21","Triebe.lebend_21","ID","Bemerkungen_22","Gefunden","Hoehe_22","Anzahl.Triebe_22","Einjaehriger.Saemling_22","ETS.abgestorben.frisch_22","ETS.abgestorben.alt_22","ETS.lebend_22","Verbiss.lebend_22","Verbiss.tot_22","Sonstige.Gruende.tot_22","Gruene.Hoehe_22","Aceria.fraxinivora_22","Nicht.gerade_22","ETS.abgestorben.frisch.terminal_22","ETS.abgestorben.alt.terminal_22","ETS.lebend.terminal_22","Verbiss.lebend.terminal_22","Verbiss.tot.terminal_22","Sonstige.Gruende.tot.terminal_22","Aceria.fraxinivora.terminal_22","Tot_22","mehr.ressourcen_22","nochmal.checken","ETS_22","Triebe.lebend_22","TSF","DSF","ISF","Zuwachs","ETS","ETS_terminal"
"315","",237,FALSE,"SW",29,1,FALSE,0,0,0,0,0,0,1,TRUE,"lau",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,1,"237SW","komplet tot",TRUE,29,1,FALSE,0,0,0,0,0,1,NA,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,0,0.11,0.06,0.19,0,FALSE,FALSE
"316","",242,FALSE,"SO",16,1,FALSE,0,0,0,0,0,0,1,TRUE,"lau",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,1,"242SO","",TRUE,16,1,FALSE,0,0,0,0,0,0,NA,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,0.03,0.03,0.02,0,FALSE,FALSE
"317","",244,FALSE,"NW",36,1,FALSE,0,0,0,0,0,0,1,TRUE,"lau",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,1,"244NW","liegt nuerdings unter totholz",TRUE,15,2,FALSE,0,0,0,1,0,0,NA,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,0.09,0.11,0.05,-21,FALSE,FALSE
"318","",245,FALSE,"NO",32,8,FALSE,0,0,0,0,3,0,1,TRUE,"lau",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,5,"245NO","",TRUE,33,6,FALSE,3,0,0,0,0,0,26,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,3,0.09,0.07,0.11,-6,TRUE,TRUE
"319","",239,FALSE,"NO",11,1,FALSE,0,0,0,0,0,0,NA,TRUE,"lau",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,1,"239NO","",TRUE,11,1,FALSE,0,0,0,0,0,0,NA,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,0.12,0.08,0.19,0,FALSE,FALSE
"320","",246,FALSE,"SW",35,3,FALSE,0,0,3,0,0,0,NA,TRUE,"lau",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,TRUE,3,"246SW","komplett tot",TRUE,35,3,FALSE,0,0,0,0,0,3,NA,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0,0.15,0.14,0.17,0,TRUE,TRUE
"321","angenagt",250,FALSE,"SW",8,1,FALSE,0,0,0,0,0,0,NA,TRUE,"lau",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,1,"250SW","",TRUE,7,3,FALSE,1,0,0,0,0,0,7,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,2,0.06,0.07,0.05,-1,TRUE,TRUE
"322","",250,FALSE,"NO",39,8,FALSE,0,0,0,1,0,0,NA,TRUE,"lau",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,8,"250NO","",TRUE,39,8,FALSE,5,0,0,0,0,0,23,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,3,0.06,0.07,0.05,-16,TRUE,TRUE
"323","",250,FALSE,"SO",10,2,FALSE,0,1,0,0,0,0,NA,TRUE,"lau",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,TRUE,1,"250SO","",TRUE,10,2,FALSE,0,1,0,0,0,0,10,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,0.06,0.07,0.05,0,TRUE,TRUE
"324","",258,FALSE,"SW",16,2,FALSE,0,0,0,0,1,0,NA,TRUE,"lau",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,1,"258SW","",TRUE,15,1,FALSE,0,0,0,0,0,0,NA,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,0.06,0.03,0.1,-1,FALSE,FALSE
