Plotnummer,Quadrant,Rueckegasse,Esche markiert,Baumart,Hoehe,Hoehe Vorjahr,Hoehe Vorvorjahr,Anzahl Triebe,ETS abgestorben frisch,ETS abgestorben alt,ETS lebend,Verbiss lebend,Verbiss tot,Sonstige Gruende tot,Bemerkungen,Rand,Zaun
,,,,Esche,139,127,119,,,,,,,,,FALSE,FALSE
,,,,Quercus spec,90,,,,,,,,,,,FALSE,FALSE
,,,,Quercus spec,184,175,,,,,,,,,,FALSE,FALSE
,,,,Esche,42,,,,,,,,,,45°,FALSE,FALSE
,,,,HBu,55,50,,,,,,,,,,FALSE,FALSE
,,,,Quercus spec,159,,,,,,,,,,,FALSE,FALSE
,,,,Quercus spec,140,,,,,,,,,,,FALSE,FALSE
,,,,Esche,51,,,1,,,,,,,,FALSE,FALSE
,,,,Quercus spec,111,,,,,,,,,,,FALSE,FALSE
,West,,,gewöhnliche Schlehe,518,517,484,,,,,,,,,FALSE,FALSE
,,,,SAh,194,169,130,,,,,,,,,FALSE,FALSE
,,,,SAh,237,212,184,,,,,,,,,FALSE,FALSE
,,,,HBu,85,61,50,,,,,,,,,FALSE,FALSE
,,,,HBu,188,150,133,,,,,,,,,FALSE,FALSE
,,,,HBu,41,,,,,,,,,,,FALSE,FALSE
,,,,SAh,228,196,152,,,,,,,,,FALSE,FALSE
,,,,SAh,89,80,65,,,,,,,,,FALSE,FALSE
,,,West,Esche,40,,,1,,,,,,,,FALSE,FALSE
,,,,SAh,81,74,56,,,,,,,,,FALSE,FALSE
,,,,SAh,74,52,34,,,,,,,,,FALSE,FALSE
,,,,Quercus spec,138,,,,,,,,,,,FALSE,FALSE
,,,,HBu,423,365,352,,,,,,,,,FALSE,FALSE
,Ost,,,SAh,145,116,94,,,,,,,,,FALSE,FALSE
,,,,Esche,25,,,1,,,,,,,,FALSE,FALSE
,,,,Quercus spec,68,,,,,,,,,,,FALSE,FALSE
,,,,Esche,122,112,100,1,,,,,,,,FALSE,FALSE
,,,,Esche,156,140,127,1,,,,,,,,FALSE,FALSE
,,,,SAh,103,90,74,,,,,,,,,FALSE,FALSE
,,,,gewöhnliche Schlehe,714,514,497,,,,,,,,,FALSE,FALSE
,,,,SAh,117,105,89,,,,,,,,,FALSE,FALSE
,,,,SAh,234,223,213,,,,,,,,,FALSE,FALSE
,,,Ost,Esche,168,159,151,2,,,,1,,,,FALSE,FALSE
,,,,SAh,126,120,109,,,,,,,,,FALSE,FALSE
,Süd,,,SAh,104,90,78,,,,,,,,,FALSE,FALSE
,,,,SAh,90,73,49,,,,,,,,,FALSE,FALSE
,,,Süd,Esche,45,,,1,,,,,,,,FALSE,FALSE
,,,,SAh,105,84,64,,,,,,,,,FALSE,FALSE
,,,,Esche,170,134,114,1,,,,,,,,FALSE,FALSE
,,,,Esche,139,129,115,,,,,,,,,FALSE,FALSE
,,,,Esche,116,108,99,1,,,,,,,,FALSE,FALSE
,,,,SAh,188,174,164,,,,,,,,,FALSE,FALSE
,,,,Esche,132,115,100,,,,,,,,,FALSE,FALSE
,,,,gewöhnliche Schlehe,259,154,126,,,,,,,,,FALSE,FALSE
15,Westen,,,BAh,454,363,275,,,,,,,,,FALSE,FALSE
,,,,SAh,319,292,208,,,,,,,,,FALSE,FALSE
,,,,SAh,299,270,237,,,,,,,,,FALSE,FALSE
,,,,SAh,307,269,250,,,,,,,,,FALSE,FALSE
,,,,SAh,550,371,352,,,,,,,,,FALSE,FALSE
,,,,SAh,118,98,78,,,,,,,,,FALSE,FALSE
,,,,HBu,340,262,253,,,,,,,,,FALSE,FALSE
,Norden,,,HBu,1095,907,894,,,,,,,,,FALSE,FALSE
,,,,SAh,165,120,78,,,,,,,,,FALSE,FALSE
,,,,SAh,325,303,298,,,,,,,,,FALSE,FALSE
,,,,SAh,188,168,107,,,,,,,,,FALSE,FALSE
,,,,SAh,340,255,226,,,,,,,,,FALSE,FALSE
,,,,SAh,320,262,234,,,,,,,,,FALSE,FALSE
,,,,SAh,142,100,,,,,,,,,,FALSE,FALSE
,,,,SAh,255,169,122,,,,,,,,,FALSE,FALSE
,Osten,,,Daphne,733,602,448,,,,,,,,,FALSE,FALSE
,,,,SAh,150,120,88,,,,,,,,,FALSE,FALSE
,,,,SAh,172,155,97,,,,,,,,,FALSE,FALSE
,,,,SAh,139,85,57,,,,,,,,,FALSE,FALSE
