"","aufid","id","baumid","edvid","auf.x","nr","nralt","art","anzahl","repfl","alt","r","zf","ou","schicht","sonder","vdfv","kraft","dkrz1","dkrz2","ddauer","dmess","mh","d","a","e","h","hkschicht","hmod","hmodm","k","status","hbr","g0","g5","g10","g15","g20","g25","g30","g35","hmaxkb","hastfrei","sfg","sfe","bi","bemerk.baum","datum","Stempel","baumid.stammv","edvid.stammv","nr.stammv","art.stammv","auf.stammv","x","y","z","bemerk","datum.stammv","Stempel.stammv","auf.y","saison","monat","jahr","flha","flha_alt","qualitat","typ","umfang","dop","bstand","messh","repfac","dfmonat","dfjahr","bemerk.auf","pz","schluss","schichtung","schaft","krone","astig","bluemast","schaeden","vegetation"
"185","316313021","3163130211018211",4634740,31631302,1,"1018",NA,211,1,1,131,"",NA,"",-1,NA,0,0,106,0,0,106,3,92,"D",NA,0,1,13.88,13.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","",2023-04-11,2023-04-11 11:12:29,4634740,31631302,"1018",211,1,51.205,-11.615,0.88,"",2023-04-11,2023-04-11 11:12:30,1,NA,3,2022,0.47,NA,1,"H","V","nein",2,NA,NA,4,2021,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
"186","316313021","3163130211019211",4634741,31631302,1,"1019",NA,211,1,1,131,"",NA,"",-1,NA,0,0,465,0,0,465,3,399,"D",NA,0,1,29.75,29.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","",2023-04-11,2023-04-11 11:12:29,4634741,31631302,"1019",211,1,50.095,-6.505,0.87,"",2023-04-11,2023-04-11 11:12:30,1,NA,3,2022,0.47,NA,1,"H","V","nein",2,NA,NA,4,2021,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
"187","316313021","3163130211020211",4634742,31631302,1,"1020",NA,211,1,1,131,"",NA,"",-1,NA,0,0,270,0,0,270,3,233,"D",NA,0,1,24.18,24.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","",2023-04-11,2023-04-11 11:12:29,4634742,31631302,"1020",211,1,47.475,-15.605,0.85,"",2023-04-11,2023-04-11 11:12:30,1,NA,3,2022,0.47,NA,1,"H","V","nein",2,NA,NA,4,2021,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
"188","316313021","31631302110211",4634613,31631302,1,"10",NA,211,1,1,131,"",NA,"U",-1,NA,4,50,178,0,0,178,13,178,"",NA,0,1,20.99,20.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","",2023-04-11,2023-04-11 11:12:29,4634613,31631302,"10",211,1,36.195,8.175,-0.14,"",2023-04-11,2023-04-11 11:12:30,1,NA,3,2022,0.47,NA,1,"H","V","nein",2,NA,NA,4,2021,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
"189","316313021","3163130211021211",4634743,31631302,1,"1021",NA,211,1,1,131,"",NA,"",-1,NA,0,0,375,0,0,375,3,323,"D",NA,0,1,27.76,27.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","",2023-04-11,2023-04-11 11:12:29,4634743,31631302,"1021",211,1,54.005,-30.045,0.83,"",2023-04-11,2023-04-11 11:12:30,1,NA,3,2022,0.47,NA,1,"H","V","nein",2,NA,NA,4,2021,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
"190","316313021","316313021120211",4634723,31631302,1,"120",NA,211,1,1,131,"",NA,"U",-1,NA,4,50,152,0,0,152,13,152,"",NA,0,1,19.14,19.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","",2023-04-11,2023-04-11 11:12:29,4634723,31631302,"120",211,1,55.195,-56.795,-0.2,"",2023-04-11,2023-04-11 11:12:30,1,NA,3,2022,0.47,NA,1,"H","V","nein",2,NA,NA,4,2021,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
"191","316313021","3163130211211",4634604,31631302,1,"1",NA,211,1,1,131,"",NA,"O",-1,NA,3,41,265,0,0,265,13,265,"",NA,0,1,25.64,25.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","",2023-04-11,2023-04-11 11:12:29,4634604,31631302,"1",211,1,61.755,-1.545,1.36,"",2023-04-11,2023-04-11 11:12:30,1,NA,3,2022,0.47,NA,1,"H","V","nein",2,NA,NA,4,2021,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
"192","316313021","316313021121211",4634724,31631302,1,"121",NA,211,1,1,131,"",NA,"O",-1,NA,1,20,575,0,0,575,13,575,"",NA,325,1,32.44,32.44,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","Steilast!",2023-04-11,2023-04-11 11:12:29,4634724,31631302,"121",211,1,56.445,-56.505,-0.11,"",2023-04-11,2023-04-11 11:12:30,1,NA,3,2022,0.47,NA,1,"H","V","nein",2,NA,NA,4,2021,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
"193","316313021","31631302112211",4634615,31631302,1,"12",NA,211,1,1,131,"",NA,"U",-1,NA,4,50,80,0,0,80,13,80,"",NA,0,1,12.68,12.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","",2023-04-11,2023-04-11 11:12:29,4634615,31631302,"12",211,1,34.965,8.735,-0.3,"",2023-04-11,2023-04-11 11:12:30,1,NA,3,2022,0.47,NA,1,"H","V","nein",2,NA,NA,4,2021,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
"194","316313021","316313021122211",4634725,31631302,1,"122",NA,211,1,1,131,"",NA,"U",-1,NA,4,50,197,0,0,197,13,197,"",NA,0,1,22.2,22.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","",2023-04-11,2023-04-11 11:12:29,4634725,31631302,"122",211,1,57.465,-56.485,0,"",2023-04-11,2023-04-11 11:12:30,1,NA,3,2022,0.47,NA,1,"H","V","nein",2,NA,NA,4,2021,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
