"Species,C,80","Height,N,31,3","Spread,N,31,3","Condition,C,80","Illness,C,1","Photo,C,80","TrunkDiam,N,31,3","MV-NR,C,10","zdztfzzt T,C,254","zdztfzzt_1,C,254","zdztfzzt_2,C,254","zdztfzzt_3,C,254","zdztfzzt_4,C,254","zdztfzzt_5,N,24,15","zdztfzzt_6,C,254","zdztfzzt_7,C,254","zdztfzzt_8,C,254","zdztfzzt_9,C,254","x,N,11,3","y,N,11,3"
Oak,126,0,,F,,0,126,Gem. Esche,,F,,,85.3,,,,,33398585.79,5992096.461
Pine,127,0,,F,,0,127,Spitzahorn,,F,,,0,,,,,33398583.19,5992101.341
Pine,128,0,,F,,0,128,Spitzahorn,,F,,,0,,,,,33398586.79,5992105.35
Pine,129,0,,F,,0,129,Spitzahorn,,F,,,0,,,,,33398580.35,5992105.344
Oak,130,0,,F,,0,130,Gem. Esche,,F,,,196.7,,,,,33398580.07,5992109.092
Oak,131,0,,F,,0,131,Gem. Esche,,F,,,251.2,,,,,33398572.62,5992113.213
Pine,132,0,,F,,0,132,Spitzahorn,,F,,,0,,,,,33398573.54,5992115.239
Pine,133,0,,F,,0,133,Spitzahorn,,F,,,0,,,,,33398560.27,5992124.381
Cherry,134,0,,F,,0,134,Rotbuche,,F,,,0,,,,,33398552.42,5992118.62
Pine,135,0,,F,,0,135,Spitzahorn,,F,,,0,,,,,33398564.12,5992130.636
Pine,136,0,,F,,0,136,Spitzahorn,,F,,,0,,,,,33398566.45,5992133.801
Oak,137,0,,T,,0,137,Gem. Esche,,T,,,276.5,,,,,33398572.86,5992133.014
Pine,138,0,,F,,0,138,Spitzahorn,,F,,,0,,,,,33398570.41,5992125.486
Oak,139,0,,T,,0,139,Gem. Esche,,T,,,245,,,,,33398580.41,5992119.297
Birch,140,0,,F,,0,140,EIche,,F,,,0,,,,,33398582.54,5992122.234
Oak,141,0,,F,,0,141,Gem. Esche,,F,,,159,,,,,33398586.16,5992120.043
Oak,142,0,,F,,0,142,Gem. Esche,,F,,,233.5,,,,,33398592.66,5992122.77
Pine,143,0,,F,,0,143,Spitzahorn,,F,,,0,,,,,33398593.65,5992114.402
Pine,144,0,,F,,0,144,Spitzahorn,,F,,,0,,,,,33398590.41,5992110.506
Pine,145,0,,F,,0,145,Spitzahorn,,F,,,0,,,,,33398596.53,5992107.827
Pine,146,0,,F,,0,146,Spitzahorn,,F,,,0,,,,,33398600.72,5992112.56
Oak,147,0,,F,,0,147,Gem. Esche,,F,,,146.1,,,,,33398601.6,5992122.228
Cherry,148,0,,F,,0,148,Rotbuche,,F,,,0,,,,,33398603.66,5992124.446
Pine,149,0,,F,,0,149,Spitzahorn,,F,,,0,,,,,33398584.56,5992129.789
Cherry,150,0,,F,,0,150,Rotbuche,,F,,,0,,,,,33398588.9,5992133.183
Pine,151,0,,F,,0,151,Spitzahorn,,F,,,0,,,,,33398583.45,5992136.93
Pine,152,0,,F,,0,152,Spitzahorn,,F,,,0,,,,,33398574.77,5992141.431
Pine,153,0,,F,,0,153,Spitzahorn,,F,,,0,,,,,33398579.01,5992144.836
Pine,154,0,,F,,0,154,Spitzahorn,,F,,,0,,,,,33398585.14,5992151.087
Oak,155,0,,F,,0,155,Gem. Esche,,F,,,241.5,,,,,33398580.5,5992151.338
Pine,156,0,,F,,0,156,Spitzahorn,,F,,,0,,,,,33398590.58,5992158.096
Pine,157,0,,F,,0,157,Spitzahorn,,F,,,0,,,,,33398592.69,5992160.636
Pine,158,0,,F,,0,158,Spitzahorn,,F,,,0,,,,,33398599.89,5992154.811
Oak,159,0,,F,,0,159,Gem. Esche,,F,,,0,,,,,33398602.42,5992153.565
Oak,159,0,,F,,0,159,Gem. Esche,,F,,,0,,,,,33398687.95,5992172.016
Pine,160,0,,F,,0,160,Spitzahorn,,F,,,0,,,,,33398595.39,5992150.17
Pine,161,0,,F,,0,161,Spitzahorn,,F,,,0,,,,,33398590.17,5992137.694
Pine,1622,0,,F,,0,162,Gem. Esche,,F,,,107,,,,,33398595.78,5992135.149
Pine,163,0,,F,,0,163,Spitzahorn,,F,,,0,,,,,33398602.87,5992143.554
Pine,164,0,,F,,0,164,Spitzahorn,,F,,,0,,,,,33398604.58,5992142.955
Pine,165,0,,F,,0,165,Spitzahorn,,F,,,0,,,,,33398605.24,5992144.572
Oak,166,0,,F,,0,166,Gem. Esche,,F,,,144,,,,,33398605.37,5992148.774
Pine,167,0,,F,,0,167,Spitzahorn,,F,,,0,,,,,33398604.24,5992150.098
,0,0,,F,,0,,,,,,,0,,,,,33398609.82,5992148.083
Oak,168,0,,F,,10,168,Gem. Esche,,F,10,,202.5,,,,,33398611.69,5992137.339
