Plotnummer,Quadrant,Rückegasse,Baumart,Höhe,Höhe Vorjahr,Höhe Vorvorjahr,Länge,Länge Vorjahr,Länge Vorvorjahr,Gesamtanzahl Triebe,ets.abgestorben.frisch,ets.abgestorben.alt,ets.lebend,verbiss.lebend,verbiss.abgestorben,sonstiges.abgestorben,Bemerkungen,Foto
,,,Esche,66,35,,72,35,,1,,,,,,,,
,,,Esche,55,53,,,,,2,,,,,,,,
,,,Esche,63,61,54,,,,1,,,,,,,,
27,SO,,Esche,104,98,,113,106,,1,,,,,,,,
,,,Esche,46,,,66,,,1,,,,,,,,
,,,Esche,76,72,,,,,1,,,,,,,,
,,,Esche,80,78,76,,,,1,,,,,,,,
,,,Esche,70,66,,75,71,,1,,,,,,,,
,,,Esche,75,63,,78,65,,1,,,,,,,,
,,,Esche,69,65,59,73,70,60,1,,,,,,,,
,,,Esche,56,51,,60,55,,1,,,,,,,,
,,,Esche,70,60,,75,65,,1,,,,,,,,
,SW,,Esche,60,54,,73,66,,1,,,,,,,,
,,,Esche,73,69,,81,76,,1,,,,,,,,
,,,Esche,64,57,,86,79,,1,,,,,,,,
,,,Esche,89,74,,95,80,,1,,,,,,,,
,,,Esche,57,49,,101,91,,1,,,,,,,,
,,,Esche,67,64,,77,70,,1,,,,,,,,
,,,Esche,67,56,,69,57,,1,,,,,,,,
,,,Esche,75,66,,78,68,,1,,,,,,,,
,,,Esche,66,65,,67,66,,2,,,,,1,,,
,,,Esche,69,,,75,,,1,,,,T1,,,,
,,,Esche,68,,,83,,,1,,,,,,,,
,,,Esche,77,73,,80,75,,1,,,,,,,,
,,,BAh,62,,,94,,,,,,,,,,,
,,,Esche,76,67,,,,,1,,,,,,,,
,NW,,Esche,70,63,,,,,1,,,,,,,,
,,,Esche,85,,,102,,,1,,,,,,,,
,,,Esche,66,62,,81,77,,1,,,,,,,,
,,,Esche,72,,,77,,,1,,,,,,,,
,,,Esche,40,,,86,,,1,,,,,,,,
,,,Esche,43,37,,74,68,,1,,,,,,,,
,,,Esche,57,,,58,,,1,,,,,,,,
,NO,,Esche,48,31,,88,73,,1,,,,,,,,
,,,Esche,54,48,,78,69,,1,,,,,,,,
,,,Esche,63,61,,64,62,,1,,,,,,,,
,,,Esche,90,77,,,,,1,,,,,,,,
,,,Esche,81,80,78,97,96,94,2,,,,,1,,,
,,,Esche,58,,,67,,,1,,,,,,,,
,,,Esche,103,91,86,119,102,97,1,,,,,,,,
,,,Esche,67,64,,81,76,,1,,,,,,,,
,,,Esche,63,58,,69,64,,1,,,,,,,,
,,,Esche,76,72,69,78,74,71,1,,,,,,,,
,,,Esche,78,66,,85,71,,1,,,,,,,,
,,,Esche,71,60,,,,,1,,,,,,,,
,,,Esche,54,47,,72,65,,1,,,,,,,,
26,NW,,Esche,68,66,60,67,65,60,1,,,,,,T1,Im Plot mittig auf dem Westrand ist die 272 drin,
,,,Esche,53,48,,64,56,,1,,,,,,,,
,,,Esche,99,94,80,,,,1,,,,,,,,
,,,Esche,70,66,,,,,1,,,,,,,,
,,,Esche,67,63,55,116,113,108,1,,,T1,,,,,
,NO,,Esche,63,54,,79,70,,1,,,,,,,,
,,,Esche,58,52,,,,,1,,,,,,,,
,,,Esche,62,56,,63,56,,1,,,,,,,,
,,,Esche,80,74,67,121,111,101,1,,,,,,,,
,,,Esche,37,34,27,69,66,60,1,,,,,,T1,,
,,,Esche,50,46,,58,53,,1,,,,,,,,
,SW,,Esche,88,82,72,90,84,74,1,,,,,,,,
,,,Esche,60,51,,112,102,,1,,,,,,,,
,SO,,BAh,120,117,114,130,127,123,,,,,,,,,
,,,Esche,74,72,,102,98,,1,,,,,,,,
,,,Esche,84,82,,109,107,,1,,,,,,,,
,,,Esche,86,83,,,,,1,,,,,,,,
,,,SAh,80,58,42,90,69,51,,,,,,,,,
,,,Esche,66,,,68,,,1,,,,,,,,
,,,Esche,60,56,,71,68,,1,,,,,,,,
,,,Esche,58,,,58,,,1,,,,,,T1,,
,,,Esche,70,,,70,,,1,,,,,,,,
,,,Esche,62,48,,96,82,,1,,,,,,,,
,,,Esche,97,92,,118,114,,1,,,,,,,,
,,,Esche,82,77,,93,87,,1,,,,,,,,
,,,Esche,83,78,,83,78,,1,,,,,,,,
17,SO,,Esche,93,86,,,,,1,,,,,,,An Grabenkante,109-3830 - 33
,,,Esche,94,88,,,,,1,,,,,,,,
,SW,, ,,,,,,,,,,,,,,Keine Bäume,
,NW,, ,,,,,,,,,,,,,,Keine Bäume,
,NO,,Esche,64,62,,,,,1,,,,,,,,
,,,Esche,69,65,,,,,1,,,,,,,,
,,,Esche,74,67,54,78,76,62,1,,,,,,,,
16,NO,,Esche,70,60,52,94,84,75,1,,,,,,,An Grabenkante,109-3837 - 39
,,,Esche,78,59,53,,,,1,,,,,,,,
,,,Esche,71,66,61,77,71,64,1,,,,,,T1,GH: 68,
,SO,, ,,,,,,,,,,,,,,Keine Bäume,
,SW,,Esche,65,50,43,,,,1,,,,,,T1,GH: 50,
13,SW,,HBu,261,242,230,275,258,245,,,,,,,,Auf der Nordkante befindet ich Baum 335,
,,,HBu,177,173,165,205,202,188,,,,,,,,,
,,,Esche,60,57,50,69,65,59,1,,,,,,,,
,,,Esche,98,86,,110,98,,1,,,,,,,,
,,,Esche,87,79,,96,87,,1,,,,,,,,
,,,Esche,78,67,,79,68,,1,,,,,,,,
,,,Esche,84,76,,98,90,,1,,,,,,,,
,,,Esche,72,66,,,,,1,,,,,,,,
,,,Esche,65,61,,87,84,,1,,,,,,,,
,,,Esche,76,68,,93,84,,1,,,,,,,,
,,,Esche,69,63,,,,,1,,,,,,,,
,,,Esche,75,71,,83,77,,1,,,,,,,,
,,,Esche,88,79,67,92,84,72,1,,,,,,,,
,,,Esche,96,94,90,,,,1,,,,,,,,
,SO,,Esche,51,47,44,88,84,80,2,,,,,,T2,,
,,,Esche,56,53,,65,62,,1,,,,,,,,
,,,Esche,70,63,,85,77,,1,,,,,,,,
,,,Esche,78,,,78,,,1,,,,,,,,
,NO,,Esche,62,53,,,,,1,,,,,,,,
,,,Esche,80,67,,104,91,,1,,,,,,,,
,,,Esche,75,70,,,,,1,,,,,,,,
,,,Esche,91,85,78,,,,1,,,,,,,,
,,,RBu,189,145,132,199,139,128,,,,,,,,,
,,,Esche,62,57,,,,,1,,,,,,,,
,,,Esche,106,103,98,,,,1,,,,,,,,
,,,Esche,75,70,64,93,88,82,1,,,,,,T1,,
,,,Esche,75,60,48,90,74,63,2,,,,,,,,
,NW,,Esche,61,,,61,,,1,,,,,,,,
,,,Esche,86,,,102,,,1,,,,,,,,
,,,Esche,93,,,98,,,1,,,,,,,,
,,,Esche,64,62,58,83,80,71,1,,,,,,T1,GH:,62
,,,Esche,67,55,,,,,1,,,,,,,,
,,,Esche,67,60,,97,91,,1,,,,,,,,
,,,Esche,78,71,,84,78,,1,,,,,,,,
,,,Esche,64,60,,93,87,,1,,,,,,,,
,,,HBu,48,43,,64,59,,,,,,,,,,
,,,Esche,73,68,,,,,1,,,,,,,,
,,,Esche,64,62,,67,65,,1,,,,,,,,
,,,Esche,93,88,84,94,90,85,1,,,,,,,,
,,,Esche,50,38,,,,,1,,,,,,,,
12,SO,,Esche,47,,,51,,,1,,,,,,,,
,,,Esche,55,51,,84,80,,1,,,,,,,,
,,,Esche,58,,,,,,1,,,,,,T1,,
,,,Esche,37,35,33,121,119,116,1,,,,,,,,
,,,Esche,60,,,,,,1,,,,,,T1,,
,,,BAh,61,56,52,80,75,65,,,,,,,,,
,,,Esche,70,66,,80,66,,1,,,,,,,,
,NO,,BAh,72,66,51,91,84,68,,,,,,,,,
,,,Esche,55,45,,66,54,,1,,,,,,,,
,,,Esche,63,55,,64,55,,1,,,,,,,,
,,,Esche,68,66,63,77,76,72,2,,,T1,,,,grüne Höhe 61,
,,,Esche,39,35,,50,45,,2,,,,,,,,
,,,Esche,73,63,,77,65,,1,,,,,,,,
,,,Esche,76,61,55,92,66,60,1,,,,,,,,
,,,Esche,45,40,,61,56,,1,,,,,,,,
,,,Esche,62,50,,87,74,,1,,,,,,,,
,,,Esche,77,54,,91,67,,1,,,,,,,,
,,,Esche,105,87,,106,88,,1,,,,,,,,
,,,Esche,68,64,,73,68,,1,,,,,,,,
,NW,,Esche,66,55,,,,,1,,,,,,,,
,,,Esche,80,78,77,106,104,103,1,,,,,,,,
,,,Esche,108,102,98,112,106,101,2,,,,,,T1,92,
,,,Esche,55,48,,77,68,,1,,,,,,,,
,,,Esche,77,75,,83,79,,1,,,,,,,,
,,,Esche,57,41,23,88,72,58,1,,,,,,,,
,SW,,Esche,78,59,,,,,1,,,,,,,,
,,,Esche,97,94,90,,,,1,,,,,,,,
,,,Esche,60,53,,82,73,,1,,,,,,,,
,,,Esche,69,60,,,,,1,,,,,,,,
,,,Esche,73,64,,85,75,,1,,,,,,,,
,,,Esche,54,48,,58,52,,1,,,,,,,,
,,,Esche,74,55,52,88,66,62,1,,,,,,,,
,,,Esche,72,62,,77,67,,1,,,,,,,,
11,NW,,Esche,66,63,57,,,,1,,,,,,,,
,,,Esche,52,45,,53,45,,1,,,,,,,,
,,,Esche,44,38,,,,,1,,,,,,,,
,NO,,Esche,60,55,,60,55,,1,,,,,,T1,GH: 32,
,,,Esche,57,56,,,,,1,,,,,,,,
,,,Esche,84,83,82,88,87,86,1,,,,,,T1,,
,,,Esche,80,,,86,,,1,,,,,,,,
,,,Esche,79,69,,,,,1,,,,,,,,
,,,Esche,78,68,,88,74,,1,,,,,,,,
,SO,,Esche,68,65,61,76,74,70,2,,,,,,T1,,
,,,Esche,55,50,,61,56,,2,,,,,,T1,Tote Höhe: 65,
,,,Esche,60,55,,97,93,,1,,,,,,,,
,,,Esche,79,68,,,,,1,,,,,,,,
,,,Esche,78,66,,89,76,,1,,,,,,,,
,SW,,Esche,54,40,,64,52,,1,,,,,,,,
,,,Esche,49,,,63,,,1,,,,,,,,
10,NW,,Esche,71,61,,75,65,,1,,,,,,,,
,,,Esche,67,62,,,,,1,,,,,,,,
