Plotnummer,Quadrant,Rückegasse,Baumart,Höhe,Höhe Vorjahr,Höhe Vorvorjahr,Länge,Länge Vorjahr,Länge Vorvorjahr,Gesamtanzahl Triebe,ets.abgestorben.frisch,ets.abgestorben.alt,ets.lebend,verbiss.lebend,verbiss.abgestorben,sonstiges.abgestorben,Bemerkungen,Foto
,,,esch,50,,,,,,1,,,,,,,,
,,,esch,66,46,,71,49,,1,,,,,,,,
,,,esch,58,,,,,,1,,,,,,,,
,,,esch,53,39,,,,,1,,,,,,,,
,,,esch,57,,,,,,1,,,,,,,,
,,,esch,51,,,,,,1,,,,,,,,
,,,esch,65,,,,,,1,,,,,,,,
,,,esch,68,,,,,,1,,,,,,,,
,,,esch,70,61,,,,,1,,,,,,,,
,,,esch,74,51,,84,57,,1,,,,,,,,
,,,esch,75,66,,,,,3,,,,t1,,,,
,,,esch,55,40,,80,51,,,,,,,,,,
19,sw,, ,,,,,,,,,,,,,,,
,so,,bah,54,,,,,,,,,,,,,,
,,,esch,66,56,,80,71,,1,,,,,,,,
,,,bah,142,131,114,,,,,,,,,,,,
,,,bah,103,92,71,,,,,,,,,,,,
,,,esch,81,75,,98,90,,1,,,,,,,,
,no,,esch,69,,,,,,1,,,,,,,,
,,,esch,72,57,,,,,2,,,,,1,,,
,,,esch,90,81,74,117,109,100,1,,,,,,,,
,,,bah,112,105,97,,,,,,,,,,,,
,,,esch,74,70,65,98,94,79,1,,,,,,,,
,,,esch,64,54,44,95,84,70,1,,,,,,,,
,nw,,bah,87,80,75,,,,,,,,,,,,
,,,esch,83,75,64,,,,1,,,,,,,,
,,,esch,46,,,,,,1,,,,,,,,
,,,esch,70,65,,,,,1,,,,,,,,
,,,esch,58,,,65,,,1,,,,,,,,
,,,esch,72,69,62,87,84,79,1,,,,,,,,
,,,esch,76,71,65,92,88,80,1,,,,,,,,
,,,esch,54,,,,,,1,,,,,,,,
,,,esch,73,66,60,,,,1,,,,,,,,
,,,esch,66,45,,,,,1,,,,,,,,
,,,bah,100,90,79,,,,,,,,,,,,
20,sw,,esch,46,40,,76,68,,1,,,,,,,,
,,,esch,75,50,,,,,1,,,,,,,,
,,,esch,40,,,49,,,1,,,,,,,,
,,,sah,121,105,96,120,111,102,,,,,,,,,
,,,esch,65,54,,84,65,,1,,,,,,,,
,,,rbu,343,332,320,510,479,455,,,,,,,,,
,so,,bah,120,116,109,,,,,,,,,,,,
,,,esch,76,60,,94,77,,1,,,,,,,,
,nw,,esch,52,38,,60,42,,1,,,,t1,,,,
,,,esch,85,78,64,,,,1,,,,,,,,
,,,esch,75,67,62,85,79,73,1,,,,,,,,
,,,bah,78,70,64,106,99,93,,,,,,,,,
,,,esch,79,73,66,,,,1,,,,,,,,
,no,,esch,66,59,,69,62,,1,,,,,,,,
,,,bah,114,100,82,,,,,,,,,,,,
,,,esch,44,,,,,,1,,,,,,,,
,,,bah,99,93,87,132,127,119,,,,,,,,,
,,,hbu,50,43,,,,,,,,,,,,,
,,,esch,64,55,35,93,80,59,1,,,,,,,,
