Plotnummer,Quadrant,Rückegasse,Baumart,Höhe,Höhe Vorjahr,Höhe Vorvorjahr,Länge,Länge Vorjahr,Länge Vorvorjahr,Gesamtanzahl Triebe,ets.abgestorben.frisch,ets.abgestorben.alt,ets.lebend,verbiss.lebend,verbiss.abgestorben,sonstiges.abgestorben,Bemerkungen,Foto
,,,Esche,79,61,48,103,82,70,1,,,,,,,,
,,,BAh,340,290,229,378,302,233,,,,,,,,,
,NW,,Esche,1818,1349,1038,,,,15,1,2,,,,3,,
,,,Esche,672,496,400,,,,5,T1,,,,,1,,
,,,Esche,312,255,220,356,295,230,3,,,,,,1,,
,,,Esche,830,506,225,,,,4,T1,,1,,,,,
,,,BAh,306,275,204,350,288,208,,,,,,,,,
,,,BAh,239,198,157,,,,,,,,,,,,
,SW,,Esche,1171,728,428,,,,10,,,,,,7,1 Trieb hat Krebs.,
,,,BAh,209,164,107,226,179,133,,,,,,,,,
,,,Esche,329,235,200,439,344,258,5,,,T3,,,,,128-3417
,,,BAh,209,163,102,218,171,121,,,,,,,,,
,,,BAh,220,157,121,251,188,152,,,,,,,,,
,,,BAh,247,343,209,,,,,,,,,,,,
,,,Esche,125,107,92,,,,1,,,,,,,,
,,,Esche,157,123,120,179,139,135,1,,,,,,,,
14,NW,,BAh,134,105,,164,128,,,,,,,,,,
,,,BAh,113,86,,114,85,,,,,,,,,,
,,,BAh,89,77,51,313,300,246,,,,,,,,unterer Teil unter Totholz begraben,
,,,BAh,132,109,75,243,216,176,,,,,,,,unterer Teil unter Totholz begraben,
,SW,,Esche,80,73,52,186,179,155,,,,,,,,,
,SO,,Esche,624,590,330,863,830,463,10,,,,,,6,,
,NO,,BAh,194,163,131,,,,,,,,,,,,
,,,BAh,462,400,236,,,,,,,,,,,,
,,,BAh,497,409,214,533,434,237,,,,,,,,,
15,SO,,Esche,96,65,27,135,102,65,1,,,,,,,,
,NW,, ,,,,,,,,,,,,,,Keine Bäume,
,NO,, ,,,,,,,,,,,,,,Keine Bäume,
,SW,, ,,,,,,,,,,,,,,Keine Bäume,
16,NW,,BAh,177,143,148,336,210,169,,,,,,,,teilweise unter Tothiolz,
,,,BAh,164,115,84,,,,,,,,,,,,
,,,BAh,120,98,89,138,114,102,,,,,,,,,
,,,BAh,163,117,99,180,135,114,,,,,,,,,
,,,BAh,135,100,82,156,120,100,,,,,,,,,
,,,Esche,259,134,34,270,141,37,1,,,,,,,,
,,,BAh,284,217,140,,,,,,,,,,,,
,,,BAh,301,167,130,318,175,142,,,,,,,,,
,,,BAh,500,488,483,,,,,,,,,,,,
,,,BAh,487,353,172,,,,,,,,,,,,
,,,BAh,341,203,157,397,230,180,,,,,,,,,
,,,BAh,255,165,155,278,286,172,,,,,,,,,
,,,Esche,112,61,,121,67,,1,,,,,,,,
,,,BAh,176,119,83,187,124,87,,,,,,,,,
,,,Esche,335,174,124,,,,1,,,,,,,,
,,,BAh,458,197,100,,,,,,,,,,,,
,,,BAh,250,223,204,321,289,274,,,,,,,,,
,,,BAh,296,121,,305,129,,,,,,,,,,
,,,BAh,244,144,100,270,156,108,,,,,,,,,
,SW,,BAh,441,320,203,,,,,,,,,,,,
,,,BAh,248,153,139,,,,,,,,,,,,
,NO,,BAh,273,151,125,,,,,,,,,,,,
,,,BAh,564,366,201,,,,,,,,,,,,
,,,BAh,365,259,227,380,263,228,,,,,,,,,
,,,Linde,146,103,65,,,,,,,,,,,,
,,,BAh,302,198,153,,,,,,,,,,,,
,,,Esche,211,125,57,,,,1,,,,,,,,
,,,BAh,323,283,264,366,323,299,,,,,,,,,
,,,BAh,283,217,185,338,227,195,,,,,,,,,
,,,BAh,88,68,,,,,,,,,,,,,
,,,BAh,125,100,87,149,105,93,,,,,,,,,
,,,BAh,187,110,97,,,,,,,,,,,,
,,,BAh,370,328,233,,,,,,,,,,,,
,,,Esche,152,86,70,175,100,83,1,,,,,,,,
,,,Esche,153,78,,,,,1,,,,,,,,
,,,Esche,163,128,51,173,144,62,2,,,,,,,,
,,,Esche,165,102,47,240,125,54,3,,,,,,,,
,,,BAh,304,211,203,363,253,241,,,,,,,,,
,,,Esche,331,173,144,339,169,130,1,,,,,,,,
,SO,,BAh,280,178,90,,,,,,,,,,,,
,,,BAh,598,386,210,,,,,,,,,,,,
,,,BAh,333,232,147,377,233,146,,,,,,,,,
,,,BAh,177,88,55,276,180,135,,,,,,,,,
,,,BAh,192,122,94,,,,,,,,,,,,
,,,BAh,507,306,255,,,,,,,,,,,,
,,,BAh,413,383,367,,,,,,,,,,,,
,,,BAh,256,196,190,273,209,204,,,,,,,,,
,,,BAh,170,120,102,204,152,128,,,,,,,,,
,,,Esche,83,54,32,97,70,49,1,,,,,,,,
,,,BAh,405,355,176,444,378,190,,,,,,,,,
,,,BAh,319,203,115,372,248,160,,,,,,,,,
,,,BAh,412,377,275,,,,,,,,,,,,
,,,BAh,334,274,132,358,279,132,,,,,,,,,
,,,BAh,418,284,155,,,,,,,,,,,,
,,,BAh,107,92,,126,110,,,,,,,,,,
17,SW,,"nigra, Sambuccus",4304,1025,1,,,,,,,,,,,Vermutlich Wuchs eines einzelnen Triebes aus Unterlage. ,
,,,Esche,87,76,60,88,77,60,1,,,,,,,,
,,,Esche,78,75,63,113,110,96,1,,,,,,,,
,,,Esche,73,66,,93,86,,1,,,,,,,,
,,,Esche,104,75,,104,75,,1,,,,,,,,
,SO,,BAh,156,125,87,160,130,90,,,,,,,,,
,,,BAh,136,113,94,159,118,100,,,,,,,,,
,,,BAh,133,103,86,152,107,91,,,,,,,,,
,,,BAh,121,91,,136,91,,,,,,,,,,
,,,BAh,148,95,68,182,113,88,,,,,,,,,
,,,BAh,115,74,43,145,85,45,,,,,,,,,
,,,BAh,175,114,,193,130,,,,,,,,,,
,,,BAh,125,72,44,149,87,50,,,,,,,,,
,NO,,Esche,101,81,62,107,88,64,1,,,,,,,,
,,,BAh,237,168,130,273,193,140,,,,,,,,,
,,,BAh,144,140,132,,,,,,,,,,,,
,,,BAh,113,85,78,134,95,89,,,,,,,,,
,,,BAh,173,120,76,188,136,87,,,,,,,,,
,,,BAh,174,150,95,210,174,111,,,,,,,,,
,NW,,BAh,107,78,,,,,,,,,,,,,
,,,BAh,112,100,87,147,118,96,,,,,,,,,
,,,BAh,106,97,91,151,132,123,,,,,,,,,
29,SO,Ja, ,,,,,,,,,,,,,,,
,NO,Ja,BAh,101,87,74,109,95,79,,,,,,,,,
,,Ja,BAh,134,114,110,190,163,156,,,,,,,,,
,NW,Ja,Esche,99,78,67,102,79,68,1,,,,,,,,
,SW,Ja, ,,,,,,,,,,,,,,,
28,NW,,BAh,162,133,120,170,139,123,,,,,,,,"Das war eine Esche! Möge sie in Frieden ruhn. Ashes to ashes, dust to dust",
,,,BAh,124,110,98,289,178,140,,,,,,,,,
,,,BAh,289,178,140,303,178,140,,,,,,,,,
,,,BAh,135,99,66,152,110,76,,,,,,,,,
,,,BAh,220,166,132,229,169,125,,,,,,,,,
,,,BAh,145,94,49,165,109,64,,,,,,,,,
,,,BAh,198,152,120,,,,,,,,,,,,
,,,BAh,313,220,156,,,,,,,,,,,,
,,,Esche,126,98,47,132,104,52,,,,,,,,,
,NO,,BAh,183,141,89,225,154,99,,,,,,,,,
,,,BAh,132,100,81,,,,,,,,,,,,
,,,BAh,115,79,,140,107,,,,,,,,,,
,,,BAh,155,111,,160,114,,,,,,,,,,
,,,BAh,103,74,,119,88,,,,,,,,,,
,,,BAh,153,107,50,168,119,54,,,,,,,,,
,,,BAh,131,110,92,135,112,92,,,,,,,,,
,,,BAh,182,135,88,176,125,82,,,,,,,,,
,,,BAh,101,76,,106,77,,,,,,,,,,
,,,BAh,197,142,121,,,,,,,,,,,,
,,,Esche,104,81,,120,95,,1,,,,,,,,
,SO,,BAh,94,65,,128,114,,,,,,,,,,
,,,BAh,162,120,107,228,180,155,,,,,,,,,
,,,Esche,95,78,,108,91,,,,,,,,,,
,,,BAh,163,138,114,,,,,,,,,,,,
,,,BAh,155,122,67,171,138,80,,,,,,,,,
,,,BAh,130,109,62,228,199,125,,,,,,,,,
,,,BAh,131,106,77,140,115,85,,,,,,,,,
,,,Esche,58,48,21,106,96,65,1,,,,,,,,
,,,Esche,74,56,39,77,59,40,2,,,,,,,,
,SW,,Linde,111,84,,,,,,,,,,,,Frische Triebe sind haarig,
,,,BAh,136,120,100,138,120,100,,,,,,,,,
,,,Esche,103,88,58,,,,1,,,,,,,,
,,,BAh,120,98,81,124,101,82,,,,,,,,,
,,,BAh,228,163,104,,,,,,,,,,,,
,,,Esche,57,51,39,,,,1,,,,,,,,
,,,BAh,125,99,77,,,,,,,,,,,,
,,,BAh,178,120,94,191,129,96,,,,,,,,,
,,,BAh,160,114,83,156,106,74,,,,,,,,,
,,,Esche,104,79,52,110,85,57,1,,,,,,,,
27,SW,,Esche,67,52,,70,53,,1,,,,,,,,
,,,"minor, Ulmus",85,57,47,102,74,60,,,,,,,,Wurzelbrut,
,,,"minor, Ulmus",445,409,358,,,,,,,,,,,wurzelbrut-Busch,
,SO,,"minor, Ulmus",446,333,285,492,359,292,,,,,,,,Wurzelbrut,
,,,"minor, Ulmus",99,89,73,115,106,69,,,,,,,,Wurzelbrut,
,NW,,"minor, Ulmus",710,668,620,,,,,,,,,,,,
,,,Esche,60,21,1,64,22,1,4,,,,,,3,,
,NO,,"minor, Ulmus",492,381,314,584,479,340,,,,,,,,Wurzelbrut,
32,NW,,"minor, Ulmus",9990,,,,,,,,,,,,,,
,,,BAh,116,85,,139,105,,,,,,,,,,
,,,BAh,69,,,,,,,,,,,,,,
,,,HBu,72,59,,,,,,,,,,,,,
,,,BAh,138,130,123,,,,,,,,,,,,
,,,Esche,89,78,46,104,86,56,1,,,,,,,,
,,,BAh,111,100,,126,106,,,,,,,,,,
,,,BAh,103,83,68,122,100,78,,,,,,,,,
,,,BAh,86,80,,105,92,,,,,,,,,,
,,,BAh,136,102,59,,,,,,,,,,,,
,NO,,BAh,164,146,,,,,,,,,,,,,
,,,BAh,117,105,,121,113,,,,,,,,,,
,,,BAh,76,69,59,140,124,106,,,,,,,,,
,,,BAh,139,115,,150,112,,,,,,,,,,
,,,BAh,97,,,101,,,,,,,,,,,
,,,BAh,139,114,58,183,144,75,,,,,,,,,
,,,BAh,123,101,,131,102,,,,,,,,,,
,,,BAh,103,77,,,,,,,,,,,,,
,,,BAh,134,113,95,,,,,,,,,,,,
,,,BAh,90,71,,,,,,,,,,,,,
,,,BAh,94,78,,,,,,,,,,,,,
,,,BAh,102,71,,140,105,,,,,,,,,,
,,,BAh,123,98,,,,,,,,,,,,,
,,,BAh,116,86,,123,92,,,,,,,,,,
,,,BAh,158,130,,183,143,,,,,,,,,,
,SO,,BAh,121,80,,126,104,,,,,,,,,"3 abgestorbene Wurzelbrut-Büsche Ulmus minor, ca. 55cm hoch",
,,,BAh,112,90,,120,95,,,,,,,,,,
,,,BAh,77,,,79,,,,,,,,,,,
,,,BAh,117,90,,,,,,,,,,,,,
,,,BAh,135,111,,140,112,,,,,,,,,,
,,,BAh,121,95,,126,100,,,,,,,,,,
,,,BAh,81,74,,101,97,,,,,,,,,,
,,,BAh,119,98,,129,107,,,,,,,,,,
,,,BAh,91,70,,136,113,,,,,,,,,,
,SW,,BAh,91,86,,100,96,,,,,,,,,,
,,,BAh,94,77,,106,89,,,,,,,,,,
,,,BAh,138,102,,,,,,,,,,,,,
,,,BAh,118,75,,123,80,,,,,,,,,,
,,,BAh,95,89,,,,,,,,,,,,,
33,NW,,Esche,111,102,65,135,112,73,1,,,,,,,,
,,,Esche,90,76,55,,,,1,,,,,,,,
,,,Esche,102,82,49,126,105,69,1,,,,,,,,
,,,BAh,140,116,83,,,,,,,,,,,,
,,,Esche,122,84,75,,,,1,,,,,,,,
,,,BAh,174,142,103,175,144,105,,,,,,,,,
