Plotnummer,Quadrant,Rückegasse,Baumart,Höhe,Höhe Vorjahr,Höhe Vorvorjahr,Länge,Länge Vorjahr,Länge Vorvorjahr,Gesamtanzahl Triebe,ets.abgestorben.frisch,ets.abgestorben.alt,ets.lebend,verbiss.lebend,verbiss.abgestorben,sonstiges.abgestorben,Bemerkungen,Foto
,,,bah,125,115,105,,,,,,,,,,,,
,,,bah,107,96,67,,,,,,,,,,,,
,,,bah,125,112,93,,,,,,,,,,,,
,,,esche,74,51,,,,,1,,,,,,,,
,,,bah,224,161,132,,,,,,,,,,,,
,,,bah,180,164,107,,,,,,,,,,,,
,,,bah,177,136,110,,,,,,,,,,,,
,,,bah,125,115,104,155,128,116,,,,,,,,,
,,,bah,124,113,84,,,,,,,,,,,,
,,,bah,180,139,109,,,,,,,,,,,,
,,,bah,58,48,,,,,,,,,,,,,
,sw,,esche,873,688,470,,,,6,,,,,,1,,
,,,bah,133,122,,,,,,,,,,,,,
,,,bah,122,104,89,,,,,,,,,,,,
,,,bah,210,173,139,,,,,,,,,,,,
,,,esche,135,100,63,,,,,,,,,,,,
,,,bah,117,102,78,,,,,,,,,,,,
,,,bah,184,138,,,,,,,,,,,,,
,,,bah,152,131,112,,,,,,,,,,,,
,,,bah,115,101,84,,,,,,,,,,,,
,,,bah,104,91,72,,,,,,,,,,,,
,,,bah,133,101,,,,,,,,,,,,,
,,,bah,126,106,,,,,,,,,,,,,
,,,bah,163,135,114,,,,,,,,,,,,
,,,bah,152,129,,,,,,,,,,,,,
,nw,,bah,94,89,80,,,,,,,,,,,,
,,,bah,150,136,128,,,,,,,,,,,,
,,,bah,168,136,122,,,,,,,,,,,,
,,,bah,177,161,128,,,,,,,,,,,,
,,,bah,124,104,88,,,,,,,,,,,,
,,,bah,135,112,94,,,,,,,,,,,,
,,,bah,121,101,82,,,,,,,,,,,,
,,,bah,76,64,42,,,,,,,,,,,,
,,,bah,113,98,75,,,,,,,,,,,,
,,,bah,221,176,125,,,,,,,,,,,,
,,,bah,122,110,81,,,,,,,,,,,,
,,,esche,80,62,,,,,1,,,,,,,,
,,,esche,420,315,250,,,,4,,,,,,2,,
,,,bah,125,111,,,,,,,,,,,,,
,,,bah,244,201,123,,,,,,,,,,,,
,,,esche,85,62,,,,,1,,,,,,,,
,,,esche,184,141,110,210,167,115,1,,,,,,,,
,,,bah,124,112,87,,,,,,,,,,,,
,,,bah,190,149,117,,,,,,,,,,,,
,no,,esche,127,100,79,,,,1,,,,,,,,
,,,bah,247,163,113,,,,,,,,,,,,
,,,bah,90,80,70,,,,,,,,,,,,
,,,bah,93,58,46,,,,,,,,,,,,
,,,bah,131,123,105,,,,,,,,,,,,
,,,bah,147,121,,,,,,,,,,,,,
,,,bah,253,223,176,,,,,,,,,,,,
,,,bah,96,80,,,,,,,,,,,,,
,,,bah,376,225,122,,,,,,,,,,,,
,,,bah,227,192,149,,,,,,,,,,,,
,,,bah,158,127,110,,,,,,,,,,,,
,,,bah,200,136,,,,,,,,,,,,,
18,nw,,bah,142,129,112,,,,,,,,,,,,
,,,bah,174,134,109,,,,,,,,,,,,
,,,bah,176,138,99,,,,,,,,,,,,
,,,bah,142,136,110,,,,,,,,,,,,
,,,bah,273,203,143,,,,,,,,,,,,
,,,bah,80,69,59,,,,,,,,,,,,
,,,bah,155,138,126,,,,,,,,,,,,
,,,esche,79,,,99,,,1,,,,,,,,
,,,bah,303,260,222,,,,,,,,,,,,
,,,bah,279,242,206,,,,,,,,,,,,
,,,bah,149,133,93,,,,,,,,,,,,
,,,bah,100,89,,,,,,,,,,,,,
,,,bah,238,192,120,,,,,,,,,,,,
,,,bah,70,60,50,160,145,113,,,,,,,,,
,,,bah,156,142,119,,,,,,,,,,,,
,,,bah,129,117,102,,,,,,,,,,,,
,,,bah,105,94,,,,,,,,,,,,,
,sw,,bah,110,102,89,,,,,,,,,,,,
,,,bah,122,101,85,,,,,,,,,,,,
,,,bah,161,147,132,,,,,,,,,,,,
,,,esche,108,71,44,141,103,49,1,,,,,,,,
,,,bah,100,93,83,,,,,,,,,,,,
,,,bah,121,109,,,,,,,,,,,,,
,,,esche,894,778,509,,,,44,8,5,,,,5,,
,so,,esche,461,352,250,,,,3,,,,,,,aceria fraxiniflora,
,,,bah,165,148,126,,,,,,,,,,,,
,,,bah,116,96,80,,,,,,,,,,,,
,,,bah,113,99,,,,,,,,,,,,,
,,,bah,105,100,,,,,,,,,,,,,
,,,esche,83,,,,,,1,,,,,,,,
,,,esche,120,90,58,,,,,,,,,,,,
,,,bah,122,113,103,,,,,,,,,,,,
,,,esche,126,83,,201,135,,,,,,,,,,
,,,bah,143,124,104,,,,,,,,,,,,
,no,,bah,134,94,78,,,,,,,,,,,,
,,,bah,113,96,,,,,,,,,,,,,
,,,bah,118,107,,,,,,,,,,,,,
,,,esche,1500,1060,774,,,,13,,,,,,4,aceria fraxiniflora,
21,sw,,bah,295,278,155,,,,,,,,,,,,
,,,bah,565,400,203,,,,,,,,,,,,
,,,bah,497,373,198,,,,,,,,,,,,
,,,bah,387,334,220,,,,,,,,,,,,
,,,bah,150,120,110,,,,,,,,,,,,
,,,esche,1065,874,440,,,,6,,1,,,,1,,
,nw,,bah,420,405,170,,,,,,,,,,,,
,no,,bah,245,178,110,,,,,,,,,,,,
,,,esche,115,90,50,145,109,70,1,,,,,,,,
,,,bah,340,288,173,,,,,,,,,,,,
,,,bah,384,295,185,,,,,,,,,,,,
,,,bah,210,154,99,,,,,,,,,,,,
,,,esche,278,175,112,350,170,104,5,,,,,,1,,
,,,bah,275,170,102,,,,,,,,,,,,
,,,bah,479,332,146,,,,,,,,,,,,
,,,bah,307,243,200,,,,,,,,,,,,
,,,esche,1350,870,795,,,,13,,,,,,1,,
,so,,bah,445,322,169,,,,,,,,,,,,
,,,bah,411,318,195,,,,,,,,,,,,
,,,bah,195,128,106,,,,,,,,,,,,
,,,bah,460,310,305,,,,,,,,,,,,
,,,bah,365,244,144,,,,,,,,,,,,
,,,bah,421,336,324,,,,,,,,,,,,
,,,bah,204,155,124,,,,,,,,,,,,
,,,bah,378,258,153,,,,,,,,,,,,
,,,bah,638,523,195,,,,,,,,,,,,
22,sw,,esche,430,182,1,,,,15,3t,5,,,,2,aceriaformes fraxinivora,
,,,esche,1753,1255,915,,,,17,,,,,,5,,
,,,bah,166,102,,,,,,,,,,,,,
,,,bah,203,134,90,,,,,,,,,,,,
,,,bah,130,89,65,,,,,,,,,,,,
,,,bah,121,83,,,,,,,,,,,,,
,,,bah,133,85,,,,,,,,,,,,,
,,,bah,108,100,95,,,,,,,,,,,,
,,,bah,254,143,115,,,,,,,,,,,,
,,,bah,160,133,118,,,,,,,,,,,,
,,,bah,170,149,125,,,,,,,,,,,,
,,,bah,196,168,134,,,,,,,,,,,,
,nw,,esche,1301,900,675,,,,34,3,,,,,6,,
,,,esche,531,352,248,,,,5,,,,,,5,,
,,,esche,869,642,405,,,,9,1,,,,,1,,
,,,esche,625,410,325,,,,7,,,,,,2,,
,,,bah,181,139,109,,,,,,,,,,,,
,,,bah,103,85,73,,,,,,,,,,,,
,,,bah,454,283,234,,,,,,,,,,,,
,,,bah,137,96,87,,,,,,,,,,,,
,,,bah,310,239,220,,,,,,,,,,,,
,,,bah,105,87,79,,,,,,,,,,,,
,,,bah,171,147,133,,,,,,,,,,,,
,,,bah,192,134,100,,,,,,,,,,,,
,,,bah,79,72,,,,,,,,,,,,,
,so,,esche,1100,770,365,,,,9,,,,,,3,,
,,,bah,368,344,280,,,,,,,,,,,,
,,,bah,327,283,258,,,,,,,,,,,,
,,,bah,135,93,,,,,,,,,,,,,
,,,esche,100,,,,,,1,,,,,,,,
,no,,bah,587,400,189,,,,,,,,,,,,
,,,bah,210,200,172,,,,,,,,,,,,
,,,bah,306,282,148,,,,,,,,,,,,
,,,rbu,231,220,188,,,,,,,,,,,,
,,,bah,434,230,210,,,,,,,,,,,,
,,,rbu,314,245,230,,,,,,,,,,,,
