OBJECTID,NR_FM,BNR,ART,wb_H_M,wb_Kraft,wb_KZSTND_,wb_WR_kron,wb_Notiz,xcoord,ycoord,DBH_mm,BHD_CM,Height_m,Status,Schicht,BA_Gruppe
236,180,180,Fagus sylvatica,0,,0,,,430189.69,5893464.07,310,31,,100,1,Bu
237,182,182,Fagus sylvatica,0,,0,,,430182.36,5893458.06,380,38,,100,1,Bu
238,187,187,Carpinus betulus,0,,0,,,430181.93,5893450.4,260,26,,100,2,Hbu
239,192,192,Acer pseudoplatanus,0,,0,,,430182.68,5893438.91,380,38,,100,1,Ah
240,193,193,Acer pseudoplatanus,0,,0,,,430174.94,5893435.2,400,40,,100,1,Ah
241,194,194,Alnus glutinosa,0,,0,,,430167.67,5893437.78,430,43,,100,1,Er
242,195,195,Tilia cordata,0,,0,,,430167.61,5893437.35,460,46,,100,1,Li
243,196,196,Fagus sylvatica,0,,0,,,430161.37,5893444.88,320,32,,100,1,Bu
244,203,203,Alnus glutinosa,0,,0,,,430153.7,5893443.99,470,47,,100,1,Er
245,204,204,Carpinus betulus,0,,0,,,430174.97,5893462.44,390,39,,100,2,Hbu
246,205,205,Alnus glutinosa,0,,0,,,430177.28,5893428.91,320,32,,100,2,Er
247,206,206,Alnus glutinosa,0,,0,,,430167.75,5893431.1,210,21,,100,2,Er
248,212,212,Alnus glutinosa,0,,0,,,430168.94,5893428.67,350,35,,100,1,Er
249,213,213,Alnus glutinosa,0,,0,,,430168.05,5893424.32,210,21,,100,2,Er
250,214,214,Alnus glutinosa,0,,0,,,430166.66,5893423.52,290,29,,100,2,Er
251,215,215,Alnus glutinosa,0,,0,,,430163.09,5893425.57,360,36,,100,1,Er
252,218,218,Alnus glutinosa,0,,0,,,430162.43,5893425.27,240,24,,100,2,Er
253,219,219,Alnus glutinosa,0,,0,,,430163.81,5893425.03,350,35,,100,2,Er
254,220,220,Alnus glutinosa,0,,0,,,430159.02,5893430.11,410,41,,100,1,Er
255,225,225,Alnus glutinosa,0,,0,,,430156.62,5893430.97,370,37,,100,1,Er
256,230,230,Alnus glutinosa,0,,0,,,430156.03,5893430.48,360,36,,100,1,Er
257,231,231,Alnus glutinosa,0,,0,,,430156.21,5893428.14,230,23,,100,2,Er
258,232,232,Alnus glutinosa,0,,0,,,430156.85,5893427.83,400,40,,100,1,Er
259,233,233,Alnus glutinosa,0,,0,,,430157.22,5893426.78,370,37,,100,1,Er
260,237,237,Alnus glutinosa,0,,0,,,430154.72,5893422.23,370,37,,100,1,Er
261,240,240,Alnus glutinosa,0,,0,,,430155.47,5893419.74,370,37,,100,2,Er
