,ID_plot,Im_Zaun,Plotnummer,Flaeche
1197,36Sch,T,36,Schotten
1256,37Sch,T,37,Schotten
1281,38Sch,T,38,Schotten
1301,39Sch,T,39,Schotten
1302,40Sch,T,40,Schotten
1303,41Sch,T,41,Schotten
1317,42Sch,T,42,Schotten
1322,43Sch,T,43,Schotten
1323,44Sch,T,44,Schotten
1325,45Sch,T,45,Schotten
1389,46Sch,T,46,Schotten
1455,47Sch,T,47,Schotten
1485,48Sch,T,48,Schotten
1488,49Sch,T,49,Schotten
2074,50Sch,T,50,Schotten
2075,51Sch,T,51,Schotten
547,52Sch,T,52,Schotten
556,53Sch,T,53,Schotten
565,54Sch,T,54,Schotten
792,55Sch,T,55,Schotten
852,56Sch,T,56,Schotten
862,57Sch,T,57,Schotten
863,58Sch,T,58,Schotten
2076,59Sch,T,59,Schotten
864,60Sch,T,60,Schotten
886,61Sch,T,61,Schotten
927,62Sch,T,62,Schotten
585,63Sch,T,63,Schotten
945,64Sch,T,64,Schotten
980,65Sch,T,65,Schotten
2077,66Sch,T,66,Schotten
2078,67Sch,T,67,Schotten
1039,68Sch,T,68,Schotten
601,69Sch,T,69,Schotten
598,70Sch,T,70,Schotten
1083,71Sch,T,71,Schotten
1121,72Sch,T,72,Schotten
1155,73Sch,T,73,Schotten
1,74Sch,T,74,Schotten
96,75Sch,T,75,Schotten
97,76Sch,T,76,Schotten
105,77Sch,T,77,Schotten
116,78Sch,T,78,Schotten
120,79Sch,T,79,Schotten
143,80Sch,T,80,Schotten
185,81Sch,T,81,Schotten
193,82Sch,T,82,Schotten
194,83Sch,T,83,Schotten
195,84Sch,T,84,Schotten
198,85Sch,T,85,Schotten
209,86Sch,T,86,Schotten
210,87Sch,T,87,Schotten
235,88Sch,T,88,Schotten
315,89Sch,T,89,Schotten
316,90Sch,T,90,Schotten
332,91Sch,T,91,Schotten
343,92Sch,T,92,Schotten
355,93Sch,T,93,Schotten
356,94Sch,T,94,Schotten
357,95Sch,T,95,Schotten
437,96Sch,T,96,Schotten
508,97Sch,T,97,Schotten
521,98Sch,T,98,Schotten
526,99Sch,T,99,Schotten
791,100Sch,T,100,Schotten
790,101Sch,T,101,Schotten
789,102Sch,T,102,Schotten
788,103Sch,T,103,Schotten
721,104Sch,T,104,Schotten
685,105Sch,T,105,Schotten
610,106Sch,T,106,Schotten
609,107Sch,T,107,Schotten
14713,1Ste,F,1,Stegelitz
14722,2Ste,F,2,Stegelitz
14734,3Ste,F,3,Stegelitz
14735,4Ste,F,4,Stegelitz
15452,5Ste,F,5,Stegelitz
14987,6Ste,F,6,Stegelitz
