"","ID_plot","Plotnummer","Flaeche","Rand","Zaun","Rueckegasse","keine.baeume","Flaeche.bedeckt","x","y","n_trees","n_species","n_ash","height_mean","height_median","height_max","height_min","n_ets_new","n_ets_old","n_ets_total"
"1842","1Sch",1,"Schotten",FALSE,FALSE,FALSE,TRUE,FALSE,509094.513813663,5591936.09756648,0,0,0,NA,NA,NA,NA,0,0,0
"1843","2Sch",2,"Schotten",FALSE,FALSE,FALSE,FALSE,FALSE,509096.280004584,5591945.86599177,1,1,1,140,140,140,140,0,0,0
"1844","3Sch",3,"Schotten",FALSE,FALSE,FALSE,TRUE,FALSE,509098.046195505,5591955.63441705,0,0,0,NA,NA,NA,NA,0,0,0
"1845","4Sch",4,"Schotten",FALSE,FALSE,FALSE,FALSE,FALSE,509099.812386427,5591965.40284234,10,3,3,500,93,4200,45,0,0,0
"1855","5Sch",5,"Schotten",FALSE,FALSE,FALSE,FALSE,FALSE,509101.578577348,5591975.17126762,6,4,1,473,492,542,355,0,0,0
"1861","6Sch",6,"Schotten",FALSE,FALSE,FALSE,FALSE,FALSE,509103.344768269,5591984.93969291,24,5,5,326.2,184.5,1920,77,0,0,0
"1885","7Sch",7,"Schotten",FALSE,FALSE,FALSE,FALSE,FALSE,509105.11095919,5591994.7081182,71,5,3,155.4,119,1430,48,0,0,0
"1956","8Sch",8,"Schotten",FALSE,FALSE,FALSE,FALSE,FALSE,509106.877150111,5592004.47654348,59,5,11,139.8,116,475,64,0,0,0
"2015","9Sch",9,"Schotten",FALSE,FALSE,FALSE,FALSE,FALSE,509108.643341033,5592014.24496877,3,2,0,3122.7,3280,4250,1838,0,0,0
"2018","10Sch",10,"Schotten",FALSE,FALSE,FALSE,FALSE,FALSE,509110.409531954,5592024.01339405,18,3,3,128.7,97,506,49,0,0,0
"2036","11Sch",11,"Schotten",FALSE,FALSE,FALSE,FALSE,FALSE,509112.175722875,5592033.78181934,8,1,0,1628.4,668,4880,254,0,0,0
"2044","12Sch",12,"Schotten",FALSE,FALSE,FALSE,FALSE,FALSE,509102.504981842,5592035.56585057,3,1,0,169.3,200,209,99,0,0,0
"2047","13Sch",13,"Schotten",FALSE,FALSE,FALSE,FALSE,FALSE,509100.738790921,5592025.79742529,8,4,1,96,63,294,43,0,0,0
"2056","14Sch",14,"Schotten",FALSE,FALSE,FALSE,FALSE,FALSE,509098.9726,5592016.029,3,1,0,1102.7,468,2520,320,0,0,0
"2059","15Sch",15,"Schotten",FALSE,FALSE,FALSE,FALSE,FALSE,509097.206409079,5592006.26057471,1,1,0,545,545,545,545,0,0,0
"2060","16Sch",16,"Schotten",FALSE,FALSE,FALSE,FALSE,FALSE,509095.440218158,5591996.49214943,14,4,0,584.6,221,3270,59,0,0,0
"2074","50Sch",50,"Schotten",TRUE,FALSE,FALSE,TRUE,FALSE,509046.1601085,5591945.01772265,0,0,0,NA,NA,NA,NA,0,0,0
"2075","51Sch",51,"Schotten",TRUE,FALSE,FALSE,TRUE,FALSE,509036.489367467,5591946.80175388,0,0,0,NA,NA,NA,NA,0,0,0
"2076","59Sch",59,"Schotten",FALSE,TRUE,FALSE,TRUE,FALSE,509039.181962883,5592016.96476212,0,0,0,NA,NA,NA,NA,0,0,0
"2077","66Sch",66,"Schotten",TRUE,FALSE,FALSE,TRUE,FALSE,509026.818626435,5591948.58578512,0,0,0,NA,NA,NA,NA,0,0,0
"2078","67Sch",67,"Schotten",TRUE,FALSE,FALSE,TRUE,FALSE,509017.147885402,5591950.36981635,0,0,0,NA,NA,NA,NA,0,0,0
"2079","1Mol",1,"Mollenfelde",FALSE,FALSE,FALSE,FALSE,FALSE,4.69121008619493,85.1459531507008,4,1,0,312,180.5,747,140,0,0,0
"2083","2Mol",2,"Mollenfelde",FALSE,FALSE,FALSE,TRUE,FALSE,8.18699236267761,75.764039791476,0,0,0,NA,NA,NA,NA,0,0,0
"2084","3Mol",3,"Mollenfelde",FALSE,FALSE,FALSE,TRUE,FALSE,11.6827746391603,66.3821264322512,0,0,0,NA,NA,NA,NA,0,0,0
"2085","4Mol",4,"Mollenfelde",FALSE,FALSE,FALSE,TRUE,FALSE,15.178556915643,57.0002130730263,0,0,0,NA,NA,NA,NA,0,0,0
"2086","5Mol",5,"Mollenfelde",TRUE,FALSE,FALSE,TRUE,FALSE,18.6743391921256,47.6182997138015,0,0,0,NA,NA,NA,NA,0,0,0
"2087","6Mol",6,"Mollenfelde",TRUE,FALSE,FALSE,TRUE,FALSE,31.6458539614254,41.6975569253516,0,0,0,NA,NA,NA,NA,0,0,0
"2088","7Mol",7,"Mollenfelde",FALSE,FALSE,FALSE,FALSE,FALSE,28.1500716849427,51.0794702845764,5,2,4,152.6,141,194,133,0,0,0
"2093","8Mol",8,"Mollenfelde",FALSE,FALSE,FALSE,FALSE,FALSE,24.6542894084601,60.4613836438012,9,4,6,77.9,62,176,36,0,0,0
"2102","9Mol",9,"Mollenfelde",FALSE,FALSE,FALSE,FALSE,FALSE,21.1585071319774,69.8432970030261,2,1,0,1237.5,1237.5,1690,785,0,0,0
"2104","10Mol",10,"Mollenfelde",FALSE,FALSE,FALSE,FALSE,FALSE,17.6627248554947,79.2252103622509,22,3,3,837.9,325,8630,68,0,0,0
"2126","11Mol",11,"Mollenfelde",TRUE,FALSE,FALSE,TRUE,FALSE,14.166942579012,88.6071237214758,0,0,0,NA,NA,NA,NA,0,0,0
"2127","12Mol",12,"Mollenfelde",TRUE,FALSE,FALSE,TRUE,FALSE,23.6426750718291,92.0682942922507,0,0,0,NA,NA,NA,NA,0,0,0
"2128","13Mol",13,"Mollenfelde",FALSE,FALSE,TRUE,FALSE,FALSE,27.1384573483118,82.6863809330259,2,2,1,254,254,384,124,0,0,0
"2130","14Mol",14,"Mollenfelde",FALSE,FALSE,TRUE,TRUE,FALSE,30.6342396247945,73.304467573801,0,0,0,NA,NA,NA,NA,0,0,0
"2131","15Mol",15,"Mollenfelde",FALSE,FALSE,TRUE,FALSE,FALSE,34.1300219012771,63.9225542145762,3,2,2,89.7,75,123,71,0,0,0
"2134","16Mol",16,"Mollenfelde",FALSE,FALSE,TRUE,FALSE,FALSE,37.6258041777598,54.5406408553513,3,2,2,239.7,97,563,59,0,0,0
"2137","17Mol",17,"Mollenfelde",FALSE,FALSE,TRUE,TRUE,FALSE,41.1215864542425,45.1587274961265,0,0,0,NA,NA,NA,NA,0,0,0
"2138","18Mol",18,"Mollenfelde",TRUE,FALSE,FALSE,TRUE,FALSE,44.6173687307252,35.7768141369017,0,0,0,NA,NA,NA,NA,0,0,0
"2139","19Mol",19,"Mollenfelde",FALSE,FALSE,FALSE,FALSE,TRUE,54.0931012235423,39.2379847076766,21,3,8,64.6,60,116,41,0,0,0
"2160","20Mol",20,"Mollenfelde",FALSE,FALSE,FALSE,TRUE,FALSE,50.5973189470596,48.6198980669014,0,0,0,NA,NA,NA,NA,0,0,0
"2161","21Mol",21,"Mollenfelde",FALSE,FALSE,FALSE,TRUE,FALSE,47.1015366705769,58.0018114261263,0,0,0,NA,NA,NA,NA,0,0,0
"2162","22Mol",22,"Mollenfelde",FALSE,FALSE,FALSE,FALSE,FALSE,43.6057543940942,67.3837247853511,7,2,6,139.7,91,247,47,1,2,2
"2169","23Mol",23,"Mollenfelde",FALSE,FALSE,FALSE,FALSE,FALSE,40.1099721176116,76.765638144576,11,3,6,168.9,186,260,55,1,0,1
"2180","24Mol",24,"Mollenfelde",FALSE,FALSE,FALSE,FALSE,FALSE,36.6141898411289,86.1475515038008,9,4,4,110,73,273,59,0,0,0
"2189","27Mol",27,"Mollenfelde",FALSE,FALSE,FALSE,FALSE,FALSE,46.089922333946,89.6087220745757,4,2,2,179.5,175.5,281,86,0,0,0
"2193","28Mol",28,"Mollenfelde",FALSE,FALSE,FALSE,FALSE,FALSE,49.5857046104286,80.2268087153509,16,2,14,309.3,297.5,475,135,4,2,5
"2209","29Mol",29,"Mollenfelde",FALSE,FALSE,FALSE,TRUE,FALSE,53.0814868869113,70.844895356126,0,0,0,NA,NA,NA,NA,0,0,0
"2210","30Mol",30,"Mollenfelde",FALSE,FALSE,FALSE,FALSE,FALSE,56.577269163394,61.4629819969012,4,2,1,1267.2,661.5,3290,456,0,0,0
"2214","31Mol",31,"Mollenfelde",FALSE,FALSE,FALSE,FALSE,FALSE,60.0730514398767,52.0810686376764,2,2,1,99.5,99.5,101,98,0,0,0
"2216","32Mol",32,"Mollenfelde",FALSE,FALSE,FALSE,TRUE,FALSE,63.5688337163594,42.6991552784515,0,0,0,NA,NA,NA,NA,0,0,0
"2217","33Mol",33,"Mollenfelde",TRUE,FALSE,FALSE,TRUE,FALSE,67.0646159928421,33.3172419192267,0,0,0,NA,NA,NA,NA,0,0,0
"2218","36Mol",36,"Mollenfelde",FALSE,FALSE,FALSE,FALSE,FALSE,69.5487839326938,55.5422392084513,22,5,10,72.2,62.5,174,35,0,0,0
"2240","37Mol",37,"Mollenfelde",FALSE,FALSE,FALSE,FALSE,FALSE,66.0530016562111,64.9241525676761,1,1,1,621,621,621,621,0,0,0
"2241","38Mol",38,"Mollenfelde",FALSE,FALSE,FALSE,FALSE,FALSE,62.5572193797284,74.306065926901,3,2,2,234.7,234,243,227,0,1,1
"2244","39Mol",39,"Mollenfelde",FALSE,FALSE,FALSE,TRUE,FALSE,59.0614371032457,83.6879792861258,0,0,0,NA,NA,NA,NA,0,0,0
"2245","40Mol",40,"Mollenfelde",FALSE,FALSE,FALSE,FALSE,FALSE,55.5656548267631,93.0698926453506,3,1,0,207.7,193,265,165,0,0,0
"2248","41Mol",41,"Mollenfelde",TRUE,FALSE,FALSE,TRUE,FALSE,52.0698725502804,102.451806004576,0,0,0,NA,NA,NA,NA,0,0,0
"2249","42Mol",42,"Mollenfelde",TRUE,FALSE,FALSE,TRUE,FALSE,61.5456050430975,105.91297657535,0,0,0,NA,NA,NA,NA,0,0,0
"2250","43Mol",43,"Mollenfelde",FALSE,FALSE,FALSE,FALSE,FALSE,65.0413873195802,96.5310632161256,6,2,0,176.2,154.5,346,68,0,0,0
"2256","44Mol",44,"Mollenfelde",FALSE,FALSE,FALSE,FALSE,FALSE,68.5371695960628,87.1491498569007,2,2,1,444,444,571,317,0,0,0
"2258","45Mol",45,"Mollenfelde",FALSE,FALSE,FALSE,TRUE,FALSE,72.0329518725455,77.7672364976759,0,0,0,NA,NA,NA,NA,0,0,0
"2259","35Mol",35,"Mollenfelde",FALSE,FALSE,FALSE,FALSE,FALSE,73.0445662091765,46.1603258492264,6,2,5,75.8,77,94,56,0,0,0
"2265","34Mol",34,"Mollenfelde",TRUE,FALSE,FALSE,TRUE,FALSE,76.5403484856592,36.7784124900016,0,0,0,NA,NA,NA,NA,0,0,0
"2266","49Mol",49,"Mollenfelde",FALSE,FALSE,FALSE,FALSE,FALSE,86.0160809784762,40.2395830607765,3,1,3,76,78,94,56,0,0,0
"2269","48Mol",48,"Mollenfelde",FALSE,FALSE,FALSE,FALSE,FALSE,82.5202987019936,49.6214964200014,2,1,2,136.5,136.5,217,56,0,0,0
"2271","47Mol",47,"Mollenfelde",FALSE,FALSE,FALSE,FALSE,FALSE,79.0245164255109,59.0034097792262,17,3,8,131.4,106,365,47,0,1,1
"2288","46Mol",46,"Mollenfelde",FALSE,FALSE,FALSE,FALSE,FALSE,75.5287341490282,68.3853231384511,1,1,1,4060,4060,4060,4060,1,1,1
"2289","50Mol",50,"Mollenfelde",TRUE,FALSE,FALSE,TRUE,FALSE,98.987595747776,34.3188402723266,0,0,0,NA,NA,NA,NA,0,0,0
"2290","51Mol",51,"Mollenfelde",FALSE,FALSE,FALSE,FALSE,FALSE,95.4918134712933,43.7007536315515,5,2,3,129,75,343,58,0,0,0
"2295","52Mol",52,"Mollenfelde",FALSE,FALSE,FALSE,FALSE,FALSE,91.9960311948107,53.0826669907763,3,2,2,93.3,78,133,69,0,0,0
"2298","53Mol",53,"Mollenfelde",FALSE,FALSE,FALSE,FALSE,FALSE,88.500248918328,62.4645803500011,6,1,0,170.2,117.5,471,85,0,0,0
"2304","54Mol",54,"Mollenfelde",FALSE,FALSE,FALSE,FALSE,FALSE,85.0044666418453,71.846493709226,3,2,1,75,72,105,48,0,0,0
"2307","55Mol",55,"Mollenfelde",FALSE,FALSE,FALSE,TRUE,FALSE,81.5086843653626,81.2284070684508,0,0,0,NA,NA,NA,NA,0,0,0
"2308","56Mol",56,"Mollenfelde",FALSE,FALSE,FALSE,TRUE,FALSE,78.0129020888799,90.6103204276757,0,0,0,NA,NA,NA,NA,0,0,0
"2309","57Mol",57,"Mollenfelde",FALSE,FALSE,FALSE,FALSE,FALSE,74.5171198123973,99.9922337869005,23,3,0,172,145,430,59,0,0,0
"2332","58Mol",58,"Mollenfelde",TRUE,FALSE,FALSE,TRUE,FALSE,71.0213375359146,109.374147146125,0,0,0,NA,NA,NA,NA,0,0,0
"2333","59Mol",59,"Mollenfelde",TRUE,FALSE,FALSE,TRUE,FALSE,80.4970700287317,112.8353177169,0,0,0,NA,NA,NA,NA,0,0,0
"2334","60Mol",60,"Mollenfelde",FALSE,FALSE,FALSE,FALSE,FALSE,83.9928523052143,103.453404357675,9,4,1,373,225,863,99,0,0,0
"2343","91Mol",91,"Mollenfelde",FALSE,FALSE,FALSE,FALSE,FALSE,112.420049783666,113.83691607,24,3,1,152.8,141.5,361,77,0,0,0
"2367","90Mol",90,"Mollenfelde",FALSE,FALSE,FALSE,FALSE,FALSE,115.915832060148,104.455002710775,9,3,3,1250.1,522,3590,119,1,1,1
"2376","94Mol",94,"Mollenfelde",TRUE,FALSE,FALSE,TRUE,FALSE,121.895782276483,117.298086640775,0,0,0,NA,NA,NA,NA,0,0,0
