"","x","y","ID_plot"
"371",66.0530016562111,64.9241525676761,"37Mol"
"381",62.5572193797284,74.306065926901,"38Mol"
"391",59.0614371032457,83.6879792861258,"39Mol"
"401",55.5656548267631,93.0698926453506,"40Mol"
"411",52.0698725502804,102.451806004576,"41Mol"
"421",61.5456050430975,105.91297657535,"42Mol"
"431",65.0413873195802,96.5310632161256,"43Mol"
"441",68.5371695960628,87.1491498569007,"44Mol"
"451",72.0329518725455,77.7672364976759,"45Mol"
"461",75.5287341490282,68.3853231384511,"46Mol"
"471",79.0245164255109,59.0034097792262,"47Mol"
"481",82.5202987019936,49.6214964200014,"48Mol"
"491",86.0160809784762,40.2395830607765,"49Mol"
"501",98.987595747776,34.3188402723266,"50Mol"
"511",95.4918134712933,43.7007536315515,"51Mol"
