"ID_plot","Plotnummer","Flaeche","Rand","Zaun","Rueckegasse","keine.baeume","Flaeche.bedeckt","n_trees","n_species","n_ash","height_mean","height_median","height_max","height_min","n_ets_new","n_ets_old","n_ets_total"
"79Mol",79,"Mollenfelde",0,0,1,0,0,16,3,0,123.1,108.5,325,80,0,0,0
"78Mol",78,"Mollenfelde",0,0,0,0,0,44,5,2,233.8,178.5,866,86,1,0,1
"61Mol",61,"Mollenfelde",0,0,0,0,0,5,3,2,2040.6,1215,6110,636,1,2,2
"65Mol",65,"Mollenfelde",0,0,0,0,0,15,5,4,172.9,163,355,51,0,0,0
"70Mol",70,"Mollenfelde",0,0,0,0,0,19,4,8,86.5,78,158,49,0,0,0
"72Mol",72,"Mollenfelde",0,0,1,0,0,44,4,3,83.2,77.5,194,33,0,0,0
"74Mol",74,"Mollenfelde",0,0,0,0,0,24,4,4,168.5,164.5,305,74,0,0,0
"76Mol",76,"Mollenfelde",1,0,0,0,0,0,0,0,NA,NA,-Inf,Inf,0,0,0
"77Mol",77,"Mollenfelde",1,0,0,0,0,0,0,0,NA,NA,-Inf,Inf,0,0,0
"62Mol",62,"Mollenfelde",0,0,0,1,0,0,0,0,NA,NA,-Inf,Inf,0,0,0
"63Mol",63,"Mollenfelde",0,0,0,0,0,13,1,0,153.5,138,371,77,0,0,0
"64Mol",64,"Mollenfelde",0,0,0,0,0,5,1,0,421.2,156,1336,85,0,0,0
"66Mol",66,"Mollenfelde",0,0,1,0,0,1,1,0,824,824,824,824,0,0,0
"69Mol",69,"Mollenfelde",0,0,0,0,0,31,4,15,66,61,190,32,0,0,0
"71Mol",71,"Mollenfelde",0,0,0,0,0,7,3,3,586.3,347,1610,212,1,0,1
"73Mol",73,"Mollenfelde",0,0,0,0,0,10,3,0,564.7,526.5,1100,96,0,0,0
"75Mol",75,"Mollenfelde",0,0,0,0,0,104,1,0,201,170,678,60,0,0,0
"68Mol",68,"Mollenfelde",1,0,0,0,0,0,0,0,NA,NA,-Inf,Inf,0,0,0
"67Mol",67,"Mollenfelde",1,0,0,0,0,0,0,0,NA,NA,-Inf,Inf,0,0,0
"26Mol",26,"Mollenfelde",1,0,0,0,0,0,0,0,NA,NA,-Inf,Inf,0,0,0
"25Mol",25,"Mollenfelde",1,0,0,0,0,0,0,0,NA,NA,-Inf,Inf,0,0,0
"1Huy",1,"Huy",0,0,1,1,0,0,0,0,NA,NA,-Inf,Inf,0,0,0
"2Huy",2,"Huy",0,0,0,0,0,20,2,19,94.8,94.5,170,32,0,0,0
"3Huy",3,"Huy",0,0,0,0,0,4,1,4,79,76.5,101,62,0,0,0
"4Huy",4,"Huy",0,0,0,0,0,61,3,45,90.7,80,211,28,0,0,0
"5Huy",5,"Huy",0,0,0,0,0,23,3,15,105.7,100,163,43,0,0,0
"6Huy",6,"Huy",0,0,0,0,0,37,2,22,106.7,83,244,41,0,0,0
"7Huy",7,"Huy",0,0,0,0,0,58,2,55,99.1,91,264,40,0,1,1
"10Huy",10,"Huy",0,0,0,0,0,79,4,72,111.5,105,201,42,0,0,0
"11Huy",11,"Huy",0,0,0,0,0,43,3,30,140.2,92,880,35,1,0,1
"12Huy",12,"Huy",0,0,0,0,0,73,2,65,107.3,83,298,35,2,0,2
"13Huy",13,"Huy",0,0,0,0,0,127,3,68,111.1,94,815,45,0,0,0
"15Huy",15,"Huy",0,0,1,0,0,87,3,76,190.2,153,735,42,4,3,4
"20Huy",20,"Huy",0,0,0,0,0,20,2,18,74.8,74,100,59,0,0,0
"22Huy",22,"Huy",0,0,0,0,0,57,3,41,482.8,240,2704,88,1,1,2
"25Huy",25,"Huy",0,0,0,0,0,76,3,65,101,85,672,35,0,0,0
"29Huy",29,"Huy",0,0,0,0,0,37,3,32,203.4,119,2427,34,0,2,2
"43Huy",43,"Huy",0,0,0,0,0,35,3,20,149.1,98,765,49,0,0,0
"39Huy",39,"Huy",0,0,0,0,0,30,2,28,83.2,71.5,193,30,0,1,1
"41Huy",41,"Huy",0,0,0,0,0,67,4,63,172.7,175,327,33,3,16,18
"53Huy",53,"Huy",0,0,0,0,0,19,2,16,166.4,139,480,35,0,1,1
"51Huy",51,"Huy",0,0,0,0,0,38,2,37,72.5,69,213,37,1,0,1
"50Huy",50,"Huy",0,0,0,0,0,4,2,3,172,144,350,50,0,1,1
"60Huy",60,"Huy",0,0,0,0,0,12,3,9,196.1,106.5,605,65,0,1,1
"59Huy",59,"Huy",0,0,0,0,0,21,4,9,464.8,270,1801,66,1,1,2
"16Huy",16,"Huy",0,0,1,0,0,70,3,57,98.6,89,247,27,3,1,4
"18Huy",18,"Huy",0,0,0,0,0,6,1,6,97.3,80,212,56,0,0,0
"35Huy",35,"Huy",0,0,1,0,0,2,1,2,65,65,89,41,0,0,0
"37Huy",37,"Huy",0,0,0,0,1,3,2,2,137.7,136,154,123,0,0,0
"55Huy",55,"Huy",0,0,0,0,1,65,4,62,144.5,129,434,50,4,3,7
"58Huy",58,"Huy",0,0,0,0,0,133,4,116,129,112,565,33,3,1,4
"68Huy",68,"Huy",0,0,0,0,0,100,4,87,121.8,100,665,43,2,1,3
"66Huy",66,"Huy",0,0,0,0,0,7,2,5,359.4,115,1125,26,0,1,1
"65Huy",65,"Huy",0,0,1,0,0,6,2,5,585.7,339.5,2094,54,0,2,2
