"ID_plant","ID_plot","Flaeche","Plotnummer","Rand","Zaun","Rueckegasse","keine.baeume","Flaeche.bedeckt","Referenz","Quadrant","Esche.markiert","Baumart_kurz","Baumart_lang","Hoehe","Hoehe.Vorjahr","Hoehe.Vorvorjahr","Anzahl.Triebe","ETS.abgestorben.frisch","ETS.abgestorben.alt","ETS.lebend","ETS","Verbiss.lebend","Verbiss.tot","Sonstige.Gruende.tot","von.Nekrose.bedroht","ETS.abgestorben.frisch.terminal","ETS.abgestorben.alt.terminal","ETS.lebend.terminal","Verbiss.lebend.terminal","Verbiss.tot.terminal","Sonstige.Gruende.tot.terminal","eigentlich.aelter","Johannistrieb","nicht.gerade","mehr.ressourcen","Pseudomonas.syringae","gruene.Hoehe","tot","Foto","KONTROLLIEREN","Bemerkungen"
51,"74Sch","Schotten",74,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"suedwest",NA,"BAh","Acer pseudoplatanus",132,123,110,NA,NA,NA,NA,FALSE,NA,NA,NA,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,""
52,"74Sch","Schotten",74,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"suedwest",NA,"BAh","Acer pseudoplatanus",673,585,372,NA,NA,NA,NA,FALSE,NA,NA,NA,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,""
53,"74Sch","Schotten",74,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"suedwest",NA,"BAh","Acer pseudoplatanus",212,189,152,NA,NA,NA,NA,FALSE,NA,NA,NA,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,""
54,"74Sch","Schotten",74,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"suedwest",NA,"BAh","Acer pseudoplatanus",117,108,102,NA,NA,NA,NA,FALSE,NA,NA,NA,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,""
55,"74Sch","Schotten",74,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"suedwest",NA,"BAh","Acer pseudoplatanus",127,119,107,NA,NA,NA,NA,FALSE,NA,NA,NA,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,""
56,"74Sch","Schotten",74,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"suedwest",NA,"BAh","Acer pseudoplatanus",145,140,134,NA,NA,NA,NA,FALSE,NA,NA,NA,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,""
57,"74Sch","Schotten",74,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"suedwest",NA,"GEs","Fraxinus excelsior",267,198,139,1,NA,NA,NA,FALSE,NA,NA,NA,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,""
58,"74Sch","Schotten",74,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"suedwest",NA,"BAh","Acer pseudoplatanus",148,142,134,NA,NA,NA,NA,FALSE,NA,NA,NA,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,""
59,"74Sch","Schotten",74,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"suedwest",NA,"BAh","Acer pseudoplatanus",98,88,66,NA,NA,NA,NA,FALSE,NA,NA,NA,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,""
60,"74Sch","Schotten",74,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"suedwest",NA,"RBu","Fagus sylvatica",665,520,495,NA,NA,NA,NA,FALSE,NA,NA,NA,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,""
61,"74Sch","Schotten",74,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"suedwest",NA,"BAh","Acer pseudoplatanus",159,149,119,NA,NA,NA,NA,FALSE,NA,NA,NA,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,""
62,"74Sch","Schotten",74,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"suedwest",NA,"BAh","Acer pseudoplatanus",76,40,38,NA,NA,NA,NA,FALSE,NA,NA,NA,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,"kriechend"
63,"74Sch","Schotten",74,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"suedwest",NA,"BAh","Acer pseudoplatanus",97,89,66,NA,NA,NA,NA,FALSE,NA,NA,NA,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,""
64,"74Sch","Schotten",74,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"suedwest",NA,"GEs","Fraxinus excelsior",118,97,73,1,NA,NA,NA,FALSE,NA,NA,NA,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,""
