"ID_plot","Plotnummer","Flaeche","Rand","Zaun","Rueckegasse","keine.baeume","Flaeche.bedeckt","x","y","n_trees","n_species","n_ash","height_mean","height_median","height_max","height_min","n_ets_new","n_ets_old","n_ets_total","ets_ratio","im_zaun"
"26Mol",26,"Mollenfelde",1,0,0,1,0,42.5941400574633,98.9906354338006,0,0,0,NA,NA,NA,NA,0,0,0,NA,0
"25Mol",25,"Mollenfelde",1,0,0,1,0,33.1184075646462,95.5294648630256,0,0,0,NA,NA,NA,NA,0,0,0,NA,0
"1Huy",1,"Huy",0,0,1,1,0,119.653237508069,88.6545424788603,0,0,0,NA,NA,NA,NA,0,0,0,NA,0
"2Huy",2,"Huy",0,0,0,0,0,110.604966983408,84.6096392089921,20,2,19,94.8,94.5,170,32,0,0,0,0,1
"3Huy",3,"Huy",0,0,0,0,0,101.556696458748,80.5647359391239,4,1,4,79,76.5,101,62,0,0,0,0,1
"4Huy",4,"Huy",0,0,0,0,0,92.508425934088,76.5198326692557,61,3,45,90.7,80,211,28,0,0,0,0,1
"5Huy",5,"Huy",0,0,0,0,0,83.4601554094278,72.4749293993875,23,3,15,105.7,100,163,43,0,0,0,0,1
"6Huy",6,"Huy",0,0,0,0,0,74.4118848847676,68.4300261295193,37,2,22,106.7,83,244,41,0,0,0,0,1
"7Huy",7,"Huy",0,0,0,0,0,65.3636143601074,64.3851228596511,58,2,55,99.1,91,264,40,0,1,1,0.0181818181818182,1
"10Huy",10,"Huy",0,0,0,0,0,61.1058214444566,72.9809798580783,79,4,72,111.5,105,201,42,0,0,0,0,1
"11Huy",11,"Huy",0,0,0,0,0,70.1540919691168,77.0258831279465,43,3,30,140.2,92,880,35,1,0,1,0.0333333333333333,1
"12Huy",12,"Huy",0,0,0,0,0,79.202362493777,81.0707863978147,73,2,65,107.3,83,298,35,2,0,2,0.0307692307692308,1
"13Huy",13,"Huy",0,0,0,0,0,88.2506330184372,85.1156896676829,127,3,68,111.1,94,815,45,0,0,0,0,1
"15Huy",15,"Huy",0,0,1,0,0,106.347174067758,93.2054962074193,87,3,76,190.2,153,735,42,4,3,4,0.0526315789473684,1
"20Huy",20,"Huy",0,0,0,0,0,102.089381152107,101.801353205846,20,2,18,74.8,74,100,59,0,0,0,0,1
"22Huy",22,"Huy",0,0,0,0,0,83.9928401027865,93.7115466661101,57,3,41,482.8,240,2704,88,1,1,2,0.0487804878048781,1
"25Huy",25,"Huy",0,0,0,0,0,56.8480285288059,81.5768368565055,76,3,65,101,85,672,35,0,0,0,0,1
"29Huy",29,"Huy",0,0,0,0,0,52.5902356131552,90.1726938549327,37,3,32,203.4,119,2427,34,0,2,2,0.0625,1
"43Huy",43,"Huy",0,0,0,0,0,57.3807132221647,102.813454123228,35,3,20,149.1,98,765,49,0,0,0,0,1
"39Huy",39,"Huy",0,0,0,0,0,93.5737953208054,118.993067202701,30,2,28,83.2,71.5,193,30,0,1,1,0.0357142857142857,1
"41Huy",41,"Huy",0,0,0,0,0,75.4772542714851,110.903260662964,67,4,63,172.7,175,327,33,3,16,18,0.285714285714286,1
"53Huy",53,"Huy",0,0,0,0,0,80.2677318804945,123.54402093126,19,2,16,166.4,139,480,35,0,1,1,0.0625,1
"51Huy",51,"Huy",0,0,0,0,0,62.1711908311741,115.454214391523,38,2,37,72.5,69,213,37,1,0,1,0.027027027027027,1
"50Huy",50,"Huy",0,0,0,0,0,53.1229203065139,111.409311121655,4,2,3,172,144,350,50,0,1,1,0.333333333333333,1
"60Huy",60,"Huy",0,0,0,0,0,76.0099389648438,132.139877929687,12,3,9,196.1,106.5,605,65,0,1,1,0.111111111111111,1
"59Huy",59,"Huy",0,0,0,0,0,85.058209489504,136.184781199555,21,4,9,464.8,270,1801,66,1,1,2,0.222222222222222,1
"16Huy",16,"Huy",0,0,1,0,0,115.395444592418,97.2503994772875,70,3,57,98.6,89,247,27,3,1,4,0.0701754385964912,0
"18Huy",18,"Huy",0,0,0,0,0,120.185922201427,109.891159745583,6,1,6,97.3,80,212,56,0,0,0,0,0
"35Huy",35,"Huy",0,0,1,0,0,106.879858761116,114.442113474142,2,1,2,65,65,89,41,0,0,0,0,0
"37Huy",37,"Huy",0,0,0,0,1,111.670336370126,127.082873742437,3,2,2,137.7,136,154,123,0,0,0,0,0
"55Huy",55,"Huy",0,0,0,0,1,98.3642729298149,131.633827470996,65,4,62,144.5,129,434,50,4,3,7,0.112903225806452,0
"58Huy",58,"Huy",0,0,0,0,0,94.1064800141642,140.229684469423,133,4,116,129,112,565,33,3,1,4,0.0344827586206897,0
"68Huy",68,"Huy",0,0,0,0,0,89.8486870985135,148.825541467851,100,4,87,121.8,100,665,43,2,1,3,0.0344827586206897,0
"66Huy",66,"Huy",0,0,0,0,0,71.7521460491931,140.735734928114,7,2,5,359.4,115,1125,26,0,1,1,0.2,0
"65Huy",65,"Huy",0,0,1,0,0,62.7038755245329,136.690831658246,6,2,5,585.7,339.5,2094,54,0,2,2,0.4,0
"73Huy",73,"Huy",0,0,0,0,0,85.5908941828627,157.421398466278,53,5,46,96.9,70,560,3,3,0,3,0.0652173913043478,0
"72Huy",72,"Huy",0,0,0,0,0,94.6391647075229,161.466301736146,9,3,1,667.2,382,1550,65,0,0,0,0,0
"69Huy",69,"Huy",0,0,0,0,0,98.8969576231736,152.870444737719,21,5,13,226.6,139,1425,21,0,1,1,0.0769230769230769,0
"67Huy",67,"Huy",0,0,0,0,0,80.8004165738533,144.780638197982,42,4,31,242.5,234,593,49,2,5,7,0.225806451612903,0
"74Huy",74,"Huy",1,0,0,1,0,76.5426236582025,153.37649519641,0,0,0,NA,NA,NA,NA,0,0,0,NA,0
"71Huy",71,"Huy",1,0,0,1,0,103.687435232183,165.511205006014,0,0,0,NA,NA,NA,NA,0,0,0,NA,0
"70Huy",70,"Huy",1,0,0,1,0,107.945228147834,156.915348007587,0,0,0,NA,NA,NA,NA,0,0,0,NA,0
"17Huy",17,"Huy",1,0,0,1,0,124.443715117078,101.295302747156,0,0,0,NA,NA,NA,NA,0,0,0,NA,0
"61Huy",61,"Huy",0,1,0,1,0,66.9616684401836,128.094974659819,0,0,0,NA,NA,NA,NA,0,0,0,NA,1
"49Huy",49,"Huy",0,1,0,1,0,44.0746497818537,107.364407851787,0,0,0,NA,NA,NA,NA,0,0,0,NA,1
"62Huy",62,"Huy",0,0,0,0,0,57.9133979155234,124.050071389951,17,2,14,347.7,143,1130,50,0,2,2,0.142857142857143,0
"63Huy",63,"Huy",0,0,0,0,0,48.8651273908632,120.005168120082,25,3,21,158.3,112,599,40,0,1,1,0.0476190476190476,0
"64Huy",64,"Huy",0,0,0,0,0,39.816856866203,115.960264850214,15,3,6,418.5,421,860,59,0,4,4,0.666666666666667,0
"48Huy",48,"Huy",0,0,0,0,0,35.0263792571935,103.319504581919,53,3,31,253.4,220,1034,80,1,3,4,0.129032258064516,0
"45Huy",45,"Huy",0,0,0,0,0,39.2841721728443,94.7236475834917,1,1,1,165,165,165,165,0,0,0,0,0
"46Huy",46,"Huy",0,0,0,0,0,30.2359016481841,90.6787443136235,2,1,2,40,40,50,30,0,0,0,0,0
"47Huy",47,"Huy",0,0,0,0,0,25.9781087325334,99.2746013120507,5,1,5,108.2,75,259,50,1,0,1,0.2,0
"27Huy",27,"Huy",0,0,0,0,0,34.4936945638348,82.0828873151963,3,2,2,32.7,41,44,13,0,0,0,0,0
"28Huy",28,"Huy",0,0,0,0,0,43.541965088495,86.1277905850645,2,1,2,69.5,69.5,79,60,0,0,0,0,0
"26Huy",26,"Huy",0,0,0,0,0,47.7997580041457,77.5319335866373,5,2,4,46.6,50,70,20,0,0,0,0,0
"9Huy",9,"Huy",0,0,0,0,0,52.0575509197964,68.9360765882101,7,1,7,63.7,69,84,30,0,0,0,0,0
"8Huy",8,"Huy",0,0,0,0,0,56.3153438354472,60.3402195897829,64,4,60,130,104.5,570,28,2,5,7,0.116666666666667,0
"54Huy",54,"Huy",0,0,0,0,0,89.3160024051547,127.588924201128,3,1,0,2031.7,2155,2790,1150,0,0,0,NA,1
"40Huy",40,"Huy",0,0,0,0,0,84.5255247961452,114.948163932833,54,3,44,90.5,75,465,38,2,0,2,0.0454545454545455,1
"52Huy",52,"Huy",0,0,0,0,0,71.2194613558343,119.499117661392,9,2,5,562.1,127,3383,47,0,0,0,0,1
"42Huy",42,"Huy",0,0,0,0,0,66.4289837468249,106.858357393096,56,3,50,192.5,60.5,7160,10,0,1,1,0.02,1
"44Huy",44,"Huy",0,0,0,0,0,48.3324426975045,98.7685508533599,19,2,17,299.9,94,2293,62,0,2,2,0.117647058823529,1
"34Huy",34,"Huy",0,0,0,0,0,97.8315882364562,110.397210204274,7,2,6,65.9,57,113,47,0,0,0,0,1
"32Huy",32,"Huy",0,0,0,0,0,79.7350471871358,102.307403664537,46,3,41,132.2,105,334,46,3,2,4,0.0975609756097561,1
"30Huy",30,"Huy",0,0,0,0,0,61.6385061378154,94.2175971248009,55,3,47,167.2,83,1295,37,2,3,5,0.106382978723404,1
"38Huy",38,"Huy",0,0,1,0,0,102.622065845466,123.037970472569,41,4,31,94.6,88,199,13,0,1,1,0.032258064516129,0
"56Huy",56,"Huy",0,0,0,0,0,107.412543454475,135.678730740864,3,1,3,64,54,104,34,0,0,0,0,0
"57Huy",57,"Huy",0,0,0,0,0,103.154750538824,144.274587739292,40,4,34,92.2,81,235,36,1,2,3,0.0882352941176471,0
"36Huy",36,"Huy",0,0,0,0,0,115.928129285777,118.48701674401,18,1,18,98.2,100,144,39,2,0,2,0.111111111111111,0
"19Huy",19,"Huy",0,0,1,0,0,111.137651676767,105.846256475715,29,3,22,109.9,108,242,35,2,1,3,0.136363636363636,0
"14Huy",14,"Huy",0,0,0,0,0,97.2989035430974,89.1605929375511,110,3,84,89.3,83,168,14,0,0,0,0,1
"21Huy",21,"Huy",0,0,0,0,0,93.0411106274467,97.7564499359783,78,6,64,177.6,103.5,1870,42,3,1,4,0.0625,1
"23Huy",23,"Huy",0,0,0,0,0,74.9445695781263,89.6666433962419,8,2,1,353,205.5,1245,83,0,0,0,0,1
"24Huy",24,"Huy",0,0,0,0,0,65.8962990534661,85.6217401263737,90,4,41,126.2,115.5,420,53,0,3,3,0.0731707317073171,1
"31Huy",31,"Huy",0,0,0,0,0,70.6867766624756,98.2625003946691,19,3,13,93.4,95,177,33,0,0,0,0,1
"33Huy",33,"Huy",0,0,0,0,0,88.783317711796,106.352306934405,62,4,42,88.5,68,290,25,0,0,0,0,1
"3Wei",3,"Weisweil",0,0,0,0,1,402126.888144228,5342622.34956503,18,3,0,530.6,479.5,1437,97,0,0,0,NA,1
"8Wei",8,"Weisweil",0,0,0,0,0,402124.890689369,5342631.99490972,61,3,0,62.4,60,102,27,0,0,0,NA,1
"14Wei",14,"Weisweil",0,0,0,0,0,402122.89323451,5342641.6402544,119,3,2,112.3,98,281,40,0,0,0,0,1
"19Wei",19,"Weisweil",0,0,0,0,1,402120.895779651,5342651.28559909,16,4,3,453.3,176.5,2350,82,0,0,0,0,1
"27Wei",27,"Weisweil",0,0,0,0,0,402118.898324791,5342660.93094377,91,1,0,128.4,114,412,55,0,0,0,NA,1
"32Wei",32,"Weisweil",0,0,0,0,0,402116.900869932,5342670.57628846,38,3,0,160.9,114.5,463,71,0,0,0,NA,1
"41Wei",41,"Weisweil",0,0,0,0,0,402114.903415073,5342680.22163314,31,3,0,156,113,481,44,0,0,0,NA,1
"48Wei",48,"Weisweil",0,0,0,0,0,402112.905960214,5342689.86697783,2,2,0,71.5,71.5,89,54,0,0,0,NA,1
"57Wei",57,"Weisweil",0,0,0,0,0,402110.908505354,5342699.51232251,6,2,0,1405.2,1031.5,3557,80,0,0,0,NA,1
"61Wei",61,"Weisweil",0,0,0,0,0,402108.911050495,5342709.1576672,5,2,1,104.4,102,150,56,0,0,0,0,1
"1Wei",1,"Weisweil",0,0,0,0,0,402138.530943772,5342614.70167521,4,2,1,2196.2,1361,5936,127,0,0,0,0,1
"4Wei",4,"Weisweil",0,0,0,0,0,402136.533488913,5342624.34701989,112,2,10,90,88.5,148,46,0,0,0,0,1
"5Wei",5,"Weisweil",1,0,0,1,0,402146.178833598,5342626.34447475,0,0,0,NA,NA,NA,NA,0,0,0,NA,1
"6Wei",6,"Weisweil",0,0,0,0,1,402144.181378738,5342635.98981944,80,3,0,142.1,134,439,55,0,0,0,NA,1
"7Wei",7,"Weisweil",0,0,0,0,0,402134.536034054,5342633.99236458,12,3,1,211.2,128,726,83,0,0,0,0,1
"15Wei",15,"Weisweil",0,0,0,0,0,402132.538579195,5342643.63770926,96,3,0,82,65,875,26,0,0,0,NA,1
"18Wei",18,"Weisweil",0,0,0,0,0,402130.541124335,5342653.28305395,91,5,1,91.3,83,434,40,0,0,0,0,1
"28Wei",28,"Weisweil",0,0,0,0,0,402128.543669476,5342662.92839863,21,2,0,350.8,164,1315,75,0,0,0,NA,1
"31Wei",31,"Weisweil",0,0,0,0,0,402126.546214617,5342672.57374332,34,2,0,203,157,784,84,0,0,0,NA,1
"42Wei",42,"Weisweil",0,0,0,0,0,402124.548759758,5342682.219088,16,2,0,528.4,469,990,204,0,0,0,NA,1
"47Wei",47,"Weisweil",0,0,0,0,0,402122.551304898,5342691.86443269,11,2,0,214.5,134,1014,97,0,0,0,NA,1
"58Wei",58,"Weisweil",0,0,0,0,0,402120.553850039,5342701.50977737,17,1,0,344,343,771,134,0,0,0,NA,1
"13Wei",13,"Weisweil",0,0,0,0,0,402113.247889825,5342639.64279954,104,3,0,163.9,120,1772,54,0,0,0,NA,1
"20Wei",20,"Weisweil",0,0,0,0,0,402111.250434966,5342649.28814423,186,3,3,130.5,122,279,58,0,0,0,0,1
"22Wei",22,"Weisweil",0,0,0,0,0,402091.959745597,5342645.29323451,70,2,1,108.4,105.5,197,60,1,0,1,1,1
"23Wei",23,"Weisweil",0,0,0,0,0,402080.316946053,5342652.94112433,29,4,0,781.3,398,2758,76,0,0,0,NA,1
"36Wei",36,"Weisweil",0,0,0,0,0,402078.319491194,5342662.58646902,30,2,0,93.8,81.5,251,36,0,0,0,NA,1
"35Wei",35,"Weisweil",0,0,0,0,0,402087.964835878,5342664.58392388,11,2,1,99.4,105,130,48,0,0,0,0,1
"34Wei",34,"Weisweil",0,0,0,0,0,402097.610180563,5342666.58137874,67,3,3,331.3,180,6105,77,1,0,1,0.333333333333333,1
"49Wei",49,"Weisweil",0,0,0,0,0,402103.260615529,5342687.86952297,5,1,0,878.4,578,1717,308,0,0,0,NA,1
"56Wei",56,"Weisweil",0,0,0,0,0,402101.26316067,5342697.51486765,6,1,0,119.3,121.5,145,95,0,0,0,NA,1
"55Wei",55,"Weisweil",0,0,0,0,0,402091.617815985,5342695.51741279,3,2,0,179.7,198,252,89,0,0,0,NA,1
"54Wei",54,"Weisweil",0,0,0,0,0,402081.972471301,5342693.51995793,7,2,1,144.7,95,451,75,1,1,1,1,1
"64Wei",64,"Weisweil",0,0,0,0,0,402079.975016441,5342703.16530262,21,2,0,146.8,109,775,45,0,0,0,NA,1
"65Wei",65,"Weisweil",0,0,0,0,0,402077.977561582,5342712.8106473,17,2,0,251.5,133,1005,69,0,0,0,NA,1
"70Wei",70,"Weisweil",0,0,0,0,0,402075.980106723,5342722.45599199,17,1,0,176.2,161,282,99,0,0,0,NA,1
"71Wei",71,"Weisweil",0,0,0,0,0,402073.982651863,5342732.10133667,2,1,0,80,80,89,71,0,0,0,NA,1
"72Wei",72,"Weisweil",0,0,0,0,0,402083.627996548,5342734.09879153,3,2,0,308.7,130,736,60,0,0,0,NA,1
"2Wei",2,"Weisweil",0,0,1,0,0,402117.242799544,5342620.35211017,96,7,1,116.8,86,618,20,0,0,0,0,1
"9Wei",9,"Weisweil",0,0,0,0,0,402115.245344685,5342629.99745486,55,3,0,214.7,98,2110,52,0,0,0,NA,1
"10Wei",10,"Weisweil",0,0,0,0,0,402105.6,5342628,102,6,1,123.5,90,990,38,0,0,0,0,1
"11Wei",11,"Weisweil",0,0,0,0,0,402093.957200456,5342635.64788983,94,5,4,197.9,99,3496,25,0,0,0,0,1
"12Wei",12,"Weisweil",0,0,0,0,0,402103.602545141,5342637.64534468,91,3,0,222.5,124,2452,44,0,0,0,NA,1
"30Wei",30,"Weisweil",0,0,0,0,0,402136.191559301,5342674.57119818,65,1,0,71.2,64,268,29,0,0,0,NA,1
"43Wei",43,"Weisweil",0,0,0,0,1,402134.194104442,5342684.21654286,15,1,0,155.5,159,290,46,0,0,0,NA,1
"46Wei",46,"Weisweil",0,0,0,0,1,402132.196649583,5342693.86188755,1,1,0,127,127,127,127,0,0,0,NA,1
"59Wei",59,"Weisweil",0,0,0,0,0,402130.199194724,5342703.50723223,16,3,0,152,136,336,88,0,0,0,NA,1
"26Wei",26,"Weisweil",0,0,0,0,0,402109.252980107,5342658.93348891,67,4,0,122.1,99,557,55,0,0,0,NA,1
"45Wei",45,"Weisweil",0,0,0,0,0,402141.841994268,5342695.8593424,11,2,0,110.2,96,233,62,0,0,0,NA,1
"21Wei",21,"Weisweil",0,0,0,0,0,402101.605090281,5342647.29068937,62,5,4,193.9,93,1355,54,0,0,0,0,1
"25Wei",25,"Weisweil",0,0,0,0,0,402099.607635422,5342656.93603405,124,4,16,155.8,133,1390,60,0,1,1,0.0625,1
"24Wei",24,"Weisweil",0,0,0,0,0,402089.962290738,5342654.93857919,82,4,1,162.1,98,2570,46,0,0,0,0,1
"33Wei",33,"Weisweil",0,0,0,0,1,402107.255525248,5342668.5788336,4,1,0,388,384,470,314,0,0,0,NA,1
"40Wei",40,"Weisweil",0,0,0,0,0,402105.258070388,5342678.22417828,23,2,0,113.3,110,281,10,0,0,0,NA,1
"39Wei",39,"Weisweil",0,0,0,0,0,402095.612725704,5342676.22672342,27,1,0,128,128,218,79,0,0,0,NA,1
"38Wei",38,"Weisweil",0,0,0,0,0,402085.967381019,5342674.22926856,8,2,0,113.2,102.5,185,90,0,0,0,NA,1
"37Wei",37,"Weisweil",0,0,0,0,0,402076.322036334,5342672.2318137,16,1,0,62.9,66,82,36,0,0,0,NA,1
"50Wei",50,"Weisweil",0,0,0,0,0,402093.615270844,5342685.87206811,42,1,0,194.9,140.5,785,70,0,0,0,NA,1
"51Wei",51,"Weisweil",0,0,0,0,0,402083.96992616,5342683.87461325,1,1,0,119,119,119,119,0,0,0,NA,1
"52Wei",52,"Weisweil",0,0,0,0,0,402074.324581475,5342681.87715839,47,1,0,303.9,123,4435,73,0,0,0,NA,1
"63Wei",63,"Weisweil",0,0,0,0,0,402089.620361126,5342705.16275748,21,2,0,277.2,273,609,74,0,0,0,NA,1
"62Wei",62,"Weisweil",0,0,0,0,0,402099.265705811,5342707.16021234,2,1,0,151,151,224,78,0,0,0,NA,1
"67Wei",67,"Weisweil",0,0,0,0,1,402097.268250951,5342716.80555702,3,2,0,207.3,202,291,129,0,0,0,NA,1
"66Wei",66,"Weisweil",0,0,0,0,1,402087.622906267,5342714.80810216,4,1,0,1659.8,1672.5,2460,834,0,0,0,NA,1
"69Wei",69,"Weisweil",0,0,0,0,0,402085.625451407,5342724.45344685,11,1,0,500.3,465,980,106,0,0,0,NA,1
"68Wei",68,"Weisweil",0,0,0,0,0,402095.270796092,5342726.45090171,10,2,4,258.4,179.5,680,102,0,1,1,0.25,1
"16Wei",16,"Weisweil",1,0,0,1,0,402142.183923879,5342645.63516412,0,0,0,NA,NA,NA,NA,0,0,0,NA,1
"17Wei",17,"Weisweil",1,0,0,1,0,402140.18646902,5342655.28050881,0,0,0,NA,NA,NA,NA,0,0,0,NA,1
"29Wei",29,"Weisweil",1,0,0,1,0,402138.189014161,5342664.92585349,0,0,0,NA,NA,NA,NA,0,0,0,NA,1
"44Wei",44,"Weisweil",1,0,0,1,0,402143.839449127,5342686.21399772,0,0,0,NA,NA,NA,NA,0,0,0,NA,1
"53Wei",53,"Weisweil",1,0,0,1,0,402072.327126616,5342691.52250307,0,0,0,NA,NA,NA,NA,0,0,0,NA,1
"60Wei",60,"Weisweil",1,0,0,1,0,402118.55639518,5342711.15512205,0,0,0,NA,NA,NA,NA,0,0,0,NA,1
"2Pla",2,"Plattenwald",0,0,0,0,0,490792.466436003,5429476.87312152,18,2,8,228.8,143.5,1057,74,0,0,0,0,1
"1Pla",1,"Plattenwald",0,0,0,0,0,490785.97195552,5429484.47718118,28,4,5,353.6,281.5,1186,60,1,0,1,0.2,1
"10Pla",10,"Plattenwald",0,0,0,0,0,490784.862376347,5429470.37864104,46,3,9,177,155,439,46,1,0,1,0.111111111111111,1
"13Pla",13,"Plattenwald",0,0,0,0,0,490777.258316691,5429463.88416056,33,4,4,140.7,80,635,44,1,0,1,0.25,1
"12Pla",12,"Plattenwald",0,0,0,0,0,490770.763836208,5429471.48822021,53,4,1,161.3,104,874,34,0,0,0,0,1
"30Pla",30,"Plattenwald",0,0,0,0,0,490763.159776551,5429464.99373973,3,2,0,1545,158,4365,112,0,0,0,NA,1
"33Pla",33,"Plattenwald",0,0,0,0,0,490768.544677862,5429443.29113994,26,5,2,87.8,79,203,29,1,0,1,0.5,1
"4Pla",4,"Plattenwald",0,0,1,0,0,490805.455396969,5429461.66500221,65,5,16,237.5,214,1544,40,2,2,2,0.125,1
"8Pla",8,"Plattenwald",0,0,0,0,0,490797.851337313,5429455.17052173,67,7,19,154.5,132,714,25,0,0,0,0,1
"15Pla",15,"Plattenwald",0,0,0,0,0,490790.247277657,5429448.67604125,21,4,0,330,299,1095,118,0,0,0,NA,1
"27Pla",27,"Plattenwald",0,0,0,0,0,490782.643218001,5429442.18156076,36,4,1,279.5,158,1327,80,0,0,0,0,1
"34Pla",34,"Plattenwald",0,0,0,0,0,490775.039158345,5429435.68708028,4,3,1,124.2,127.5,185,57,0,0,0,0,1
"46Pla",46,"Plattenwald",0,0,0,0,0,490767.435098689,5429429.1925998,11,5,1,322.8,204,981,50,1,1,1,1,1
"53Pla",53,"Plattenwald",0,0,0,0,0,490759.831039033,5429422.69811931,23,4,2,205,128,1629,75,1,0,1,0.5,1
"66Pla",66,"Plattenwald",0,0,0,0,1,490752.226979377,5429416.20363883,4,3,1,283,270.5,523,68,0,0,0,0,1
"71Pla",71,"Plattenwald",0,0,1,0,0,490744.622919721,5429409.70915835,177,5,29,142.4,106,880,37,9,5,10,0.344827586206897,1
"72Pla",72,"Plattenwald",0,0,0,0,0,490751.117400205,5429402.10509869,21,3,0,96.2,94,168,39,0,0,0,NA,1
"54Pla",54,"Plattenwald",0,0,0,0,1,490766.325519517,5429415.09405966,1,1,0,2383,2383,2383,2383,0,0,0,NA,1
"35Pla",35,"Plattenwald",0,0,0,0,0,490781.533638829,5429428.08302062,28,6,1,232.3,158,1080,83,0,0,0,0,1
"3Pla",3,"Plattenwald",0,0,0,0,0,490798.960916486,5429469.26906187,68,5,16,124.8,94.5,523,50,2,0,2,0.125,1
"11Pla",11,"Plattenwald",0,0,0,0,0,490778.367895863,5429477.9827007,35,2,3,171,118,821,74,3,2,3,1,1
"9Pla",9,"Plattenwald",0,0,1,0,0,490791.35685683,5429462.77458138,1,1,0,146,146,146,146,0,0,0,NA,1
"14Pla",14,"Plattenwald",0,0,0,0,0,490783.752797174,5429456.2801009,39,4,14,111.9,95,279,43,3,0,3,0.214285714285714,1
"28Pla",28,"Plattenwald",0,0,0,0,1,490776.148737518,5429449.78562042,18,4,6,147.6,99,743,58,0,0,0,0,1
"29Pla",29,"Plattenwald",0,0,0,0,0,490769.654257035,5429457.38968007,49,6,2,229.4,149,900,54,0,0,0,0,1
"31Pla",31,"Plattenwald",0,0,1,1,0,490755.555716895,5429458.49925925,0,0,0,NA,NA,NA,NA,0,0,0,NA,1
"32Pla",32,"Plattenwald",0,0,0,0,0,490762.050197379,5429450.89519959,34,5,5,250.7,130,837,62,0,0,0,0,1
"36Pla",36,"Plattenwald",0,0,0,0,0,490788.028119312,5429420.47896097,8,3,2,179,96.5,462,66,1,1,1,0.5,1
"37Pla",37,"Plattenwald",0,0,0,0,0,490794.522599795,5429412.87490131,24,4,1,237.2,140,1302,76,1,1,1,1,1
"38Pla",38,"Plattenwald",0,0,0,0,0,490801.017080279,5429405.27084165,3,2,0,363.3,380,450,260,0,0,0,NA,1
"39Pla",39,"Plattenwald",0,0,0,0,0,490807.511560762,5429397.666782,5,3,1,166.8,152,304,51,0,0,0,0,1
"40Pla",40,"Plattenwald",0,0,1,0,0,490806.401981589,5429383.56824186,1,1,0,928,928,928,928,0,0,0,NA,1
"59Pla",59,"Plattenwald",0,0,0,0,1,490798.797921933,5429377.07376138,2,1,0,1846.5,1846.5,2681,1012,0,0,0,NA,1
"41Pla",41,"Plattenwald",0,0,0,0,1,490799.907501106,5429391.17230152,7,3,1,645.6,435,2134,218,1,1,1,1,1
"58Pla",58,"Plattenwald",0,0,0,0,1,490792.30344145,5429384.67782103,7,1,0,652.3,483,1654,321,0,0,0,NA,1
"57Pla",57,"Plattenwald",0,0,0,0,1,490785.808960967,5429392.28188069,47,6,7,152,103,1484,48,0,0,0,0,1
"45Pla",45,"Plattenwald",0,0,0,0,0,490773.929579173,5429421.58854014,3,2,0,1757,87,5108,76,0,0,0,NA,1
"44Pla",44,"Plattenwald",0,0,0,0,0,490780.424059656,5429413.98448048,5,4,1,171.6,198,276,65,1,0,1,1,1
"43Pla",43,"Plattenwald",0,0,0,0,1,490786.918540139,5429406.38042083,2,2,1,85,85,100,70,0,0,0,0,1
"42Pla",42,"Plattenwald",0,0,0,0,0,490793.413020623,5429398.77636117,4,3,1,658.5,727,987,193,1,1,1,1,1
"63Pla",63,"Plattenwald",0,0,0,0,0,490771.710420827,5429393.39145986,13,5,0,399,362,949,125,0,0,0,NA,1
"56Pla",56,"Plattenwald",0,0,0,0,0,490779.314480483,5429399.88594034,49,6,14,277.3,103,6135,50,1,2,2,0.142857142857143,1
"62Pla",62,"Plattenwald",0,0,0,0,0,490778.204901311,5429385.7874002,58,5,9,170.2,92.5,3291,46,0,0,0,0,1
"55Pla",55,"Plattenwald",0,0,0,0,0,490772.82,5429407.49,2,2,0,1549.5,1549.5,2875,224,0,0,0,NA,1
"64Pla",64,"Plattenwald",0,0,0,0,0,490765.215940344,5429400.99551952,16,3,0,905.2,136,3179,95,0,0,0,NA,1
"65Pla",65,"Plattenwald",0,0,0,0,0,490758.721459861,5429408.59957917,50,4,3,191.4,110,1120,46,0,0,0,0,1
"73Pla",73,"Plattenwald",0,0,0,0,0,490757.611880688,5429394.50103903,18,4,4,215.6,148,875,59,0,0,0,0,1
"74Pla",74,"Plattenwald",0,0,0,0,0,490764.106361171,5429386.89697938,109,6,39,117,100,845,39,2,1,3,0.0769230769230769,1
"75Pla",75,"Plattenwald",0,0,0,0,0,490770.600841655,5429379.29291972,18,5,5,499.8,184,1705,77,0,1,1,0.2,1
"76Pla",76,"Plattenwald",0,0,0,0,0,490777.095322138,5429371.68886007,4,2,0,500.8,495,899,114,0,0,0,NA,1
"77Pla",77,"Plattenwald",0,0,0,0,1,490783.589802621,5429364.08480041,1,1,0,485,485,485,485,0,0,0,NA,1
"61Pla",61,"Plattenwald",0,0,0,0,0,490784.699381794,5429378.18334055,3,2,0,541,549,775,299,0,0,0,NA,1
"60Pla",60,"Plattenwald",0,0,0,0,0,490791.193862277,5429370.57928089,1,1,0,4500,4500,4500,4500,0,0,0,NA,1
"67Pla",67,"Plattenwald",0,0,0,0,0,490745.732498894,5429423.80769849,75,6,2,148.1,119,518,41,0,0,0,0,1
"68Pla",68,"Plattenwald",0,0,0,0,0,490739.238018411,5429431.41175814,34,3,4,106.5,108,175,56,0,0,0,0,1
"69Pla",69,"Plattenwald",0,0,0,0,0,490732.743537928,5429439.0158178,86,3,12,198.1,152.5,595,51,1,0,1,0.0833333333333333,1
